Santa Monica College - Grade Distribution Spring 2015,,,,,,,,,,,,,,,,,
Department,Subject,Course,,Section,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
,,,,1816,PAIK-SCHOENBERG J,1,7,7,2,3,,,,15,,35,
,,,,1817,MEYER E E,11,5,2,1,2,1,,,2,,24,
,,,,1818,MEYER E E,5,8,1,1,1,1,,,8,,25,
,,,,1819,BONAR H S,8,9,2,3,,1,,,3,,26,
,,,,1820,HALL J E,15,9,,1,,,,,,,25,
,,,,1821,MEIR N K,5,4,2,2,,1,,,6,,20,
,,,,1822,GARCIA GU,8,7,5,3,,1,,,3,,27,
,,,,1823,POSSEMATO F,21,4,,,,,,,2,,27,
,,,,1824,KAUFFMAN S R,26,10,,,,,,,2,,38,
,,,,1825,ESPINOSA A A,4,4,7,5,,,,,4,,24,
,,,,1826,GILDNER B J,1,6,7,6,,,,,6,,26,
,,,,1827,DRISCOLL L V,7,5,2,8,,,,,13,,35,
,,,,1828,IRELAND S P,16,10,3,,,,,,1,,30,
,,,,1829,PADILLA M R,2,10,2,2,3,,,,7,,26,
,,,,1830,KARRON R,4,11,5,1,1,,,,6,,28,
,,,,1831,HERTZ U L,3,2,11,1,5,,,,3,,25,
,,,,1832,PAIK-SCHOENBERG J,2,2,3,1,6,,,,10,,24,
,,,,1833,FONSECA M L,2,3,3,4,4,,,,11,,27,
,,,,1834,MATTESSICH S N,8,12,8,2,3,,,,5,,38,
,,,,1835,MENTON K T,3,6,7,4,9,,,,6,,35,
,,,,1836,RAJSKI B,15,7,2,5,,,,,7,,36,
,,,,1837,RUBIO G H,2,6,5,2,,,,,7,,22,
,,,,1838,CAGGIANO S E,6,3,6,3,4,,,,2,,24,
,,,,1839,REMMES J,3,2,4,1,,,,,9,,19,
,,,,1841,NELSON LAUNA A,5,4,3,2,,,,,9,,23,
,,,,1842,VISHWANADHA H,1,,4,3,9,,,,15,,32,
"Monday, May 16, 2016",,,,,,,,,,,,,,,,Page 39 of 98,
Department,Subject,Course,,Section,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
English,ENGL,ENGL,1,1843,ZEHR D M,8,8,1,5,,,,,5,,27,
,,,,1845,LEGRANDE E,6,11,3,3,,,,,2,,25,
,,,,1846,RUBIO G H,3,5,7,2,,,,,5,,22,
,,,,1848,MCQUEENEY E P,5,12,1,3,,,,,3,,24,
,,,,1849,TRIPLETT J,6,4,5,2,,,,,11,,28,
,,,,1850,HERBERT S,2,11,5,4,11,,,,,,33,
,,,,1851,PADILLA M R,9,14,3,3,,,,,7,,36,
,,,,1853,PACCHIOLI J J,2,10,10,4,2,,,,6,,34,
,,,,1854,JU S,1,8,13,2,2,,,,7,,33,
,,,,1855,OBA R K,10,7,2,1,1,,,,5,,26,
,,,,1856,LEGRANDE E,6,13,2,2,,,,,1,,24,
,,,,1857,KARRON R,4,5,7,3,3,,,,5,,27,
,,,,1858,ESPINOSA A A,3,10,6,3,5,,,,7,,34,
,,,,1859,KRUSOE J A,2,8,15,5,,,,,8,,38,
,,,,1860,PACCHIOLI J J,2,7,4,8,5,,1,,9,,36,
,,,,1861,WATTS J W,9,15,2,,,,1,,2,,29,
,,,,1862,MATTESSICH S N,12,7,6,3,6,,,,3,,37,
,,,,1863,PRITCHARD L A,9,6,3,3,2,,,,4,,27,
,,,,1864,JU S,9,4,6,2,1,,,,10,,32,
,,,,1865,HERBERT S,11,10,7,1,7,,,,,,36,
,,,,1867,JU S,2,5,5,,,,,,12,,24,
,,,,1869,KRUSOE J A,2,13,7,9,1,,,,5,,37,
,,,,1871,DOUCET W J,9,6,1,5,,9,,,7,,37,
,,,,1872,PRITCHARD L A,6,12,5,1,2,,,,2,,28,
,,,,1873,SOSNER J A,5,10,5,1,2,,,,3,,26,
,,,,1874,WILL L J,5,5,1,2,4,1,,,4,,22,
,,,,1875,SIMPSON L E,6,9,4,1,1,,,,9,,30,
,,,,1876,EDELMANN C,3,12,4,2,2,,,,,,23,
"Monday, May 16, 2016",,,,,,,,,,,,,,,,Page 40 of 98,
Department,Subject,Course,,Section,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
English,ENGL,ENGL,1,1877,KEMPER D E,7,10,1,2,,,,,6,,26,
,,,,1878,GUSTIN M J,3,3,4,2,2,,,,4,,18,
,,,,1879,DEL GEORGE D K,6,7,5,1,,,,,3,,22,
,,,,1880,DEL GEORGE D K,3,6,1,1,1,,,,2,,14,
,,,,1881,CRAMER T R,11,5,1,1,4,,,,3,,25,
,,,,1882,CRAMER T R,5,4,1,5,,,,,3,,18,
,,,,1883,CRAMER T R,7,2,,5,,,,,3,,17,
,,,,1884,AGHABEGIAN DIANA E,5,8,1,1,2,,,,4,,21,
,,,,1885,LYNCH J J,8,8,2,2,1,,,,2,,23,
,,,,1886,REICHLE R E,3,8,5,1,4,,,,2,,23,
,,,,1887,LYNCH J J,6,1,2,2,2,,,,6,,19,
,,,,1888,DEL GEORGE D K,4,6,2,4,,,,,1,,17,
,,,,3331,CAGGIANO S E,5,7,3,2,2,,,,4,,23,
,,,,3369,WINKLER K D,2,5,3,1,,,,,2,,13,
,,,,3399,GARCIA M S,3,4,4,5,,,,,5,,21,
,,,,4150,OVERALL S J,4,8,2,1,1,,,,6,,22,
,,,,4151,KEMPER D E,1,10,3,2,,,,,6,,22,
,,,,4153,EDELMANN C,2,8,2,4,3,,,,6,,25,
,,,,4154,PHILLIPS L K,4,7,1,3,,,,,6,,21,
,,,,4155,EDELMANN C,7,9,6,,,,,1,2,,25,
,,,,4156,MURPHY E M,6,7,1,1,,,,,8,,23,
,,ENGL,2,1890,GOODE S S,5,15,3,,,,,,1,,24,
,,,,1891,RAJSKI B,16,6,1,1,,,,,,,24,
,,,,1892,ESPINOSA A A,2,12,8,2,,,,,,,24,
,,,,1893,KARRON R,4,12,6,1,1,,,,6,,30,
,,,,1894,GARNICA A M,5,8,3,2,1,,,,4,,23,
,,,,1895,YOUNG W H,1,4,6,1,,,,,7,,19,
,,,,1896,GARNICA A M,5,12,3,2,3,,,,1,,26,
"Monday, May 16, 2016",,,,,,,,,,,,,,,,Page 41 of 98,
Department,Subject,Course,,Section,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
English,ENGL,ENGL,2,1897,PADILLA M R,9,6,4,1,,,,,4,,24,
,,,,1898,ANDERSON E,8,10,4,3,3,,,,1,,29,
,,,,1899,CAGGIANO S E,6,3,8,4,2,,,,4,,27,
,,,,1900,LIVANIS L,3,14,5,1,,,,,2,,25,
,,,,1901,BOSTICK J D,18,3,1,3,,,,,1,,26,
,,,,1902,BONAR H S,12,11,1,,,,,,3,,27,
,,,,1903,HAMADA M J,12,10,,1,,,,,5,,28,
,,,,1904,HAMADA M J,7,6,2,1,,,,,5,,21,
,,,,1905,HANSEN N C,13,5,3,3,,1,,,,,25,
,,,,1906,DRISCOLL L V,15,7,1,,,,,,2,,25,
,,,,1907,ADAMS J J,4,5,2,6,3,,,,3,,23,
,,,,1908,POSSEMATO F,19,2,2,1,2,,,,,,26,
,,,,1909,NOLAN-COFFMAN M P,8,4,1,1,1,,,,4,,19,
,,,,1910,IRELAND S P,13,15,4,,,,,,2,,34,
,,,,1911,MOTOIKE K J,12,4,3,1,,,,,6,,26,
,,,,1912,GOODE S S,4,14,2,1,,,,,4,,25,
,,,,1913,BRIGSTOCKE J W,1,19,1,5,,,,,2,,28,
,,,,1914,WATTS J W,7,15,6,,,,,,3,,31,
,,,,1916,FONSECA M L,3,6,7,2,3,1,,,5,,27,
,,,,1917,DOSSETT G H,7,16,1,,,,,,1,,25,
,,,,1918,SANDOVAL A,3,15,2,2,1,,,,3,,26,
,,,,1919,PADILLA E,7,9,3,3,,,,,3,,25,
,,,,1920,MEIR N K,6,5,8,,,,,,2,,21,
,,,,1921,JOHNSON D J,6,10,6,2,,,,,3,,27,
,,,,1922,BOSTICK J D,13,7,1,3,,,,,2,,26,
,,,,1923,TRUBY D,,9,11,3,,,,,2,,25,
,,,,1924,LANE P D,6,10,2,,,,,,4,,22,
,,,,1925,SOSNER J A,11,6,3,4,,,,,2,,26,
"Monday, May 16, 2016",,,,,,,,,,,,,,,,Page 42 of 98,
Department,Subject,Course,,Section,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
English,ENGL,ENGL,2,1926,GILDNER B J,5,9,5,5,,,,,2,,26,
,,,,1927,HOTSINPILLER MATTHEW,,6,7,2,7,,,,3,,25,
,,,,1928,ROSS M S,3,3,8,1,,,,,5,,20,
,,,,1929,JOHNSON D J,5,8,9,1,1,,,,2,,26,
,,,,1930,MEIR N K,6,6,6,,,1,,,4,,23,
,,,,1931,YOUNG W H,6,1,9,1,,,,,7,,24,
,,,,1932,ARIEFF D E,7,8,9,,,,,,,,24,
,,,,1933,DESAI D H,3,11,4,3,1,,,,1,,23,
,,,,1934,MINAMI A M,5,5,3,1,,,,,9,,23,
,,,,1935,DOUCET W J,18,16,9,,,,,,3,,46,
,,,,1936,BONAR H S,5,10,8,,,,,,1,,24,
,,,,1937,PADILLA E,3,7,5,1,,,,,5,,21,
,,,,1938,WATTS J W,11,14,,,,,,,,,25,
,,,,1939,OVERALL S J,7,9,1,5,,,,,3,,25,
,,,,1940,LANE P D,12,10,,,,,,,2,,24,
,,,,1941,HERTZ U L,1,8,4,1,2,,,,6,,22,
,,,,1942,HERBERT S,6,8,5,3,,,,,3,,25,
,,,,1943,OBA R K,6,11,3,1,,,,,5,,26,
,,,,1944,CRAMER T R,17,8,,,,,,,,,25,
,,,,1945,ZEHR D M,6,12,5,1,,,,,2,,26,
,,,,1946,MEYER E E,10,11,3,1,,,,,,,25,
,,,,1947,ARIEFF D E,8,6,4,1,,,,,6,,25,
,,,,1948,LANE P D,11,11,,,,,,,3,,25,
,,,,1949,SIMPSON L E,8,11,1,1,,,,,2,,23,
,,,,1950,BURAK C D,10,9,,,,,,,2,,21,
,,,,1951,LANDAU D M E,4,2,3,1,1,,,,8,,19,
,,,,1952,HERBERT S,8,4,4,2,,,,,3,,21,
,,,,1953,BELL S L,11,10,2,,,,,,2,,25,
"Monday, May 16, 2016",,,,,,,,,,,,,,,,Page 43 of 98,
Department,Subject,Course,,Section,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
English,ENGL,ENGL,2,1954,FREDRICK J A,8,7,4,2,3,,,,2,,26,
,,,,1955,DEL GEORGE D K,10,10,3,,,,,,,,23,
,,,,1956,CRAMER T R,4,12,4,,1,,,,4,,25,
,,,,1957,MATTESSICH S N,23,5,,,,,,,,,28,
,,,,1958,PACCHIOLI J J,2,12,5,,1,,,,4,,24,
,,,,1959,MEEKS C,8,9,6,,2,,,,1,,26,
,,,,1960,JU S,8,4,5,,,,,,5,,22,
,,,,1961,BURAK C D,12,10,1,,,,,,2,,25,
,,,,1962,DAVIS C V,4,6,9,3,,,,,2,,24,
,,,,1964,LANDAU D M E,,2,5,2,,,,,12,,21,
,,,,1965,FREDRICK J A,2,8,1,1,,,,,8,,20,
,,,,1967,KAPLAN M A,7,10,1,,,,,,4,,22,
,,,,1968,MURPHY E M,7,8,2,1,,,,,5,,23,
,,,,1969,AGHABEGIAN DIANA E,8,10,2,1,1,,,,,,22,
,,,,1970,REMMES J,2,9,1,1,1,1,,,4,,19,
,,,,1971,GUSTIN M J,2,3,1,1,2,,,,4,,13,
,,,,1972,HOTSINPILLER MATTHEW,7,8,1,,2,,,,3,,21,
,,,,1973,REMMES J,1,6,5,3,,,,,3,,18,
,,,,1974,JANAKOS L D,1,3,2,2,3,,,,7,,18,
,,,,1975,JANAKOS L D,2,6,6,,2,,,,4,,20,
,,,,1976,LONGO J P,5,3,4,2,5,,,,2,,21,
,,,,1977,GUSTIN M J,7,2,4,1,4,,,,2,,20,
,,,,1978,SCHAMP J L,6,8,4,1,,,,,2,,21,
,,,,1979,ROSALES C M,4,10,4,1,2,,,,2,,23,
,,,,1980,ROSALES C M,8,5,3,1,2,,,,1,,20,
,,,,3303,BRIGSTOCKE J W,5,13,1,,3,,,,3,,25,
,,,,3370,WINKLER K D,2,4,3,2,,1,,,,,12,
,,,,3387,VISHWANADHA H,,2,4,2,4,,,,10,,22,
"Monday, May 16, 2016",,,,,,,,,,,,,,,,Page 44 of 98,
Department,Subject,Course,,Section,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
English,ENGL,ENGL,2,3400,HANSEN N C,10,4,4,1,2,,,,4,,25,
,,,,3405,EBERLE B M,12,5,,,1,,,,3,,21,
,,,,4157,WILL L J,7,6,3,,1,3,,,3,,23,
,,,,4158,KAPLAN M A,7,9,1,,,,,,4,,21,
,,,,4159,MURPHY E M,10,5,1,,,,,,8,,24,
,,,,4160,SOSNER J A,9,10,4,,,,,,3,,26,
,,,,4161,PADILLA M R,8,5,3,,,,,,6,,22,
,,,,4163,KEMPER D E,13,6,5,,1,,,,4,,29,
,,,,4164,BELL S L,16,10,1,,,,,,1,,28,
,,,,4165,KLEIN R E,6,14,1,,1,,,,8,,30,
,,ENGL,3,1981,NOLAN-COFFMAN M P,11,6,1,,2,,,,9,,29,
,,,,4166,HUMPHREY T F,23,3,,,1,1,,,1,,29,
,,ENGL,4,1982,ZEHR D M,11,11,3,,,,,,6,,31,
,,,,4167,MATTESSICH S N,9,11,,,2,,,,3,,25,
,,ENGL,5,1983,DRISCOLL L V,25,7,,2,,,,,3,,37,
,,,,1984,REMMES J,4,5,4,,,,,,7,,20,
,,ENGL,6,4169,SIMPSON L E,12,5,2,,1,,,,3,,23,
,,ENGL,7,1985,PACCHIOLI J J,6,15,5,2,1,,,,4,,33,
,,ENGL,8,1986,ARMS E D,14,12,1,,1,1,,,2,,31,
,,ENGL,14,1988,RAJSKI B,22,8,,,1,,,,3,,34,
,,ENGL,15,1989,DOSSETT G H,6,17,3,1,3,,,,5,,35,
,,ENGL,20,1990,PAIK-SCHOENBERG J,1,2,4,,,,,,17,,24,
,,,,1991,MARKARIAN E A,12,12,1,1,,,,,1,,27,
,,,,1992,PAK M,1,5,8,1,4,,,,2,,21,
,,,,1993,MARKARIAN E A,5,11,2,5,,,,,1,,24,
,,,,1994,O'HARA D M,3,4,8,,5,,,,2,,22,
,,,,1995,DAVISON,IV G S,1,4,4,4,4,,,5,,22,
,,,,1996,TODD G T,1,4,8,2,,,,,9,,24,
"Monday, May 16, 2016",,,,,,,,,,,,,,,,Page 45 of 98,
Department,Subject,Course,,Section,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
English,ENGL,ENGL,20,1997,TODD G T,3,5,9,1,,,,,8,,26,
,,,,1998,GRIFFY W J,1,10,7,1,3,,,,1,,23,
,,,,1999,PRITCHARD L A,1,6,6,2,,,,,8,,23,
,,,,2000,MILLER N A,1,7,6,4,5,,,,2,,25,
,,,,2001,MARKARIAN E A,7,11,5,1,,,,,,,24,
,,,,2002,SCHNITZLER A P,3,4,9,2,2,,,,6,,26,
,,,,2003,TODD G T,1,4,6,3,,,,,8,,22,
,,,,2004,WRIGHT N E,6,11,2,,,,,,4,,23,
,,,,2006,GARCIA M S,2,7,6,3,1,,,,3,,22,
,,,,2007,PRITCHARD L A,3,6,9,,,,,,3,,21,
,,,,2008,SCHNITZLER A P,2,4,2,2,3,,,,9,,22,
,,,,4170,WOODRUFF S K,4,,2,2,7,,,,4,,19,
,,ENGL,21A,2009,HABEL L W,2,8,2,1,3,,,,6,,22,
,,,,2010,CARDENAS T P,9,8,2,4,,,,,1,,24,
,,,,2011,FUCHS C A,1,3,6,2,4,,,,7,,23,
,,,,2012,YUDELL J,1,2,4,1,3,,,,17,,28,
,,,,2013,HELLER G R,4,2,1,6,1,,,,8,,22,
,,,,2014,MOTOIKE K J,6,1,3,3,3,,,,8,,24,
,,,,2015,MISAGHI A M,3,9,5,1,2,,,,6,,26,
,,,,2016,HABEL L W,3,8,4,2,5,,,,1,,23,
,,,,2019,DEMPSEY A L,12,4,2,1,1,,,,2,,22,
,,,,2020,FUCHS C A,1,3,9,2,1,,,,9,,25,
,,,,2021,CARDENAS T P,10,7,5,2,,,,,2,,26,
,,,,2022,YUDELL J,2,7,2,4,2,,,,12,,29,
,,,,2024,LEMON W R,2,4,4,1,6,,,,8,,25,
,,,,2025,HABEL L W,5,6,7,1,3,,,,1,,23,
,,,,2026,STERR S D,8,6,3,2,1,,,,6,,26,
,,,,2027,PADILLA E,12,8,3,,,,,,10,,33,
"Monday, May 16, 2016",,,,,,,,,,,,,,,,Page 46 of 98,
Department,Subject,Course,,Section,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
English,ENGL,ENGL,21A,2028,HELLER G R,3,2,5,1,,,,,10,,21,
,,,,2029,FUCHS C A,1,3,5,4,2,,,,10,,25,
,,,,2030,BEARDSLEY J D,,3,7,4,6,,,,5,,25,
,,,,2031,LEMON W R,2,2,3,1,4,,,,10,,22,
,,,,2033,DIXON M J,1,6,3,1,8,,,,3,,22,
,,,,2034,LOZADA C H,3,3,9,2,2,,,,8,,27,
,,,,2035,HARTMAN M,3,13,1,2,,,,,2,,21,
,,,,2036,LANDAU D M E,,3,11,8,1,,,,9,,32,
,,,,2037,KAUFFMAN S R,5,6,3,3,4,,,,6,,27,
,,,,2038,LOZADA C H,2,4,4,1,5,,,,9,,25,
,,,,2039,LANDAU D M E,,1,3,12,,,,,15,,31,
,,,,2040,LOZADA C H,2,5,5,1,5,,,,7,,25,
,,,,3302,PAIK-SCHOENBERG J,1,4,8,2,3,,,,8,,26,
,,,,3397,GRIFFY W J,1,6,2,2,1,,,,9,,21,
,,,,4172,CONSTANTIN G N,10,4,1,,,4,,,4,,23,
,,,,4173,PHILLIPS L K,4,7,2,2,,,,,7,,22,
,,ENGL,21B,2042,MOTOIKE K J,4,3,4,3,5,,,,6,,25,
,,,,2043,STIRLING M S,2,6,4,6,,,,,5,,23,
,,,,2044,TRUBY D,,4,9,1,7,,,,3,,24,
,,,,2045,PADILLA E,12,5,4,1,,,,1,9,,32,
,,,,2047,DESAI D H,5,13,1,,,,,,2,,21,
,,,,2048,BLACKWELL N,,4,2,3,3,1,,,5,,18,
,,,,2049,BLACKWELL N,1,5,9,3,4,,1,,1,,24,
,,,,2051,FERREROSA J P,1,6,8,5,,,,,6,,26,
,,,,2052,STIRLING M S,2,7,5,1,,,,,3,,18,
,,,,2053,HELLER G R,6,1,3,3,,,,,8,,21,
,,,,2054,MISAGHI A M,4,5,12,1,,,,,2,,24,
,,,,2055,DURAN A,,6,4,1,2,,,,8,,21,
"Monday, May 16, 2016",,,,,,,,,,,,,,,,Page 47 of 98,
Department,Subject,Course,,Section,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
English,ENGL,ENGL,21B,2056,DOSSETT G H,2,8,12,8,,,,,4,,34,
,,,,2057,BLOUNT J A,2,8,4,2,,,,,7,,23,
,,,,2058,CANO D R,1,5,5,6,1,,,,5,,23,
,,,,2059,FONSECA M L,,4,9,6,2,,,,6,,27,
,,,,2060,CARDENAS T P,11,4,2,2,,,,,5,,24,
,,,,2061,NASON N B,4,7,7,3,1,,,,8,,30,
,,,,2062,WRIGHT N E,4,14,4,,,,,,4,,26,
,,,,2063,DIXON M J,2,6,2,4,6,,,,6,,26,
,,,,2064,SANDOVAL A,3,6,5,1,3,,,,4,,22,
,,,,2065,SANDSTROM J L,6,4,7,1,1,,,,5,,24,
,,,,2066,NELSON LAUNA A,2,5,6,,,3,,,2,,18,
,,,,2067,DOUCET W J,2,6,16,9,,2,,,2,,37,
,,,,2069,CANO D R,2,4,9,6,,,,,4,,25,
,,,,2070,MISAGHI A M,3,11,5,2,1,,,,1,,23,
,,,,2072,MARTINEZ-GIL C,7,6,2,2,,,,,4,,21,
,,,,2073,DOSSETT G H,3,6,12,9,,,,,4,,34,
,,,,2074,DOUCET W J,5,7,9,4,,,,,4,,29,
,,,,2075,CANO D R,,8,11,8,1,,,,4,,32,
,,,,2076,KAUFFMAN S R,4,11,1,2,2,,,1,1,,22,
,,,,2078,TRIPLETT J,,4,7,5,3,,,,5,,24,
,,,,2079,VISHWANADHA H,,,2,5,8,,,,11,,26,
,,,,4174,PHILLIPS L K,4,6,4,1,,,,,8,,23,
,,,,4176,BELL S L,1,6,2,2,3,,,,12,,26,
,,,,4177,HAMADA M J,3,5,2,,,,,,6,,16,
,,ENGL,22,2080,ROBERTS P S,4,1,3,1,1,,,,7,,17,
,,ENGL,30A,2083,PADILLA M R,14,7,,2,,,,,3,,26,
,,,,2084,MEEKS C,9,8,2,1,2,,,,1,,23,
,,,,2085,DAVIS C V,4,9,5,,,,,,2,,20,
"Monday, May 16, 2016",,,,,,,,,,,,,,,,Page 48 of 98,
Department,Subject,Course,,Section,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
English,ENGL,ENGL,30A,4178,KRUSOE J A,16,,,,,,,,8,,24,
,,,,4179,PADILLA M R,16,,,1,,,,,3,,20,
,,ENGL,30B,2086,PADILLA M R,6,,,,,,,,2,,8,
,,,,2087,MEEKS C,,2,,,,,,,1,,3,
,,,,2088,DAVIS C V,1,1,,1,,,,,2,,5,
,,,,4180,PADILLA M R,7,,,,,,,,2,,9,
,,,,4181,KRUSOE J A,1,16,,,,,,,2,,19,
,,ENGL,34,4182,DOUCET W J,4,5,2,,,4,,,3,,18,
,,ENGL,39,2090,BORETZ M S,5,7,3,4,1,,,,5,,25,
,,ENGL,40,2091,VISHWANADHA H,3,8,1,2,,1,,,9,,24,
,,ENGL,48,2092,STEEBER S J,7,5,1,2,2,,1,,7,,25,
,,ENGL,50,2093,STERR S D,15,11,4,2,1,,,1,4,,38,
,,ENGL,51,4183,REMMES J,2,,,1,,,,,,,3,
,,ENGL,52,4184,DEL GEORGE D K,6,1,3,1,2,,,,1,,14,
,,ENGL,57,4185,MARTINEZ-GIL C,4,1,,1,,,,,10,,16,
,,ENGL,80,2094,SHAPIRO E P,,,,,,,4,15,2,,21,
,,ENGL,84R,2095,HARTMAN M,,,,,,,1,10,2,,13,
,,ENGL,84W,2096,YUDELL J,,,,,,,3,10,4,,17,
,,ENGL,85,2097,COUEY S L,,,,,,,3,14,2,,19,
,,,,2098,KLEMP R M,,,,,,,1,18,8,,27,
,,,,2099,KLEMP R M,,,,,,,,15,5,,20,
,,,,2100,DAVISON,IV G S,,,,,,8,9,7,,24,
,,,,2101,WEATHERFORD K C,,,,,,,3,16,5,,24,
,,,,2103,WEATHERFORD K C,,,,,,,1,20,7,,28,
,,,,2104,COLTON P M,,,,,,1,1,19,5,,26,
,,,,2105,COUEY S L,,,,,,,3,14,3,,20,
,,,,2106,MAVROMATI A C,,,,,,,6,9,5,,20,
,,,,2107,COLTON P M,,,,,,,,19,4,,23,
"Monday, May 16, 2016",,,,,,,,,,,,,,,,Page 49 of 98,
Department,Subject,Course,,Section,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
English,ENGL,ENGL,85,2108,EBERLE B M,,,,,,,2,13,5,,20,
,,,,2109,MAVROMATI A C,,,,,,,3,12,6,,21,
,,,,2110,HIOUREAS E C,,,,,,,5,10,7,,22,
,,,,2111,HIOUREAS E C,,,,,,,3,11,5,,19,
,,,,2112,DAVISON,IV G S,,,,,,4,10,10,,24,
,,,,2113,SHAPIRO E P,,,,,,,3,15,3,,21,
,,,,2114,KRUG J M,,,,,,,3,19,2,,24,
,,,,4186,WEATHERFORD K C,,,,,,,2,11,6,,19,
,,,,4187,SHAPIRO E P,,,,,,,4,11,5,,20,
,HUM,HUM,88A,3414,TRIVES T,2,,,,,,,,,,2,
,,HUM,88C,2436,BEARDSLEY J D,1,,,,,,,,,,1,
,REL ST,REL ST 51,,4455,REMMES J,1,6,1,2,3,,,,7,,20,
,,REL ST 52,,4456,DEL GEORGE D K,9,4,2,,1,,,,,,16,
English Total,,,,,1788,2175,####,478,533,,41,67,304,####,,8112,
ESL,ESL,ESL,10G,2124,KAHN A B,1,9,3,4,4,,,,2,,23,
,,,,2125,KIM E,1,8,5,3,2,,,,5,,24,
,,,,2126,ELLIS T L,6,10,2,1,3,,,,2,,24,
,,,,3388,JACOBS T,1,7,3,,,,,,2,,13,
,,,,4191,WALKER D D,5,8,7,1,3,,,,,,24,
,,ESL,10W,2127,HARCLERODE J E,4,9,8,,2,,,,2,,25,
,,,,2128,KOENIG GOLOMBEK L K,2,11,4,3,1,,,,5,,26,
,,,,2129,STIVENER M,,5,2,3,7,,1,,6,,24,
,,,,3360,LEE M E,,5,11,4,3,,,,1,,24,
,,,,4192,KUNIMOTO T A,1,5,11,3,2,,,,3,,25,
,,ESL,11A,2130,LODMER E L,,7,4,10,,,,,3,,24,
,,,,2131,MARASCO J A,,2,8,7,5,,1,,2,,25,
,,,,2132,NIGHTINGALE M D,,3,5,10,1,,,2,3,,24,
,,,,2133,JAFFE S R,,4,9,3,2,,,,4,,22,
"Monday, May 16, 2016",,,,,,,,,,,,,,,,Page 50 of 98,
Department,Subject,Course,,Section,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
ESL,ESL,ESL,11A,2134,SPECTOR A L,7,6,7,4,,,,,,,24,
,,,,2135,SILVER J L,1,6,11,3,2,,,,1,,24,
,,,,2136,GRAZIADEI K N,2,10,7,1,,,,,5,,25,
,,,,2137,HOROWITZ R S,1,7,13,1,,,,,3,,25,
,,,,2138,JO C J,1,10,6,5,,,,,1,,23,
,,,,3389,ALLIE S M,3,6,,1,,,,,,,10,
,,,,4193,CERQUEIRA B L,3,8,4,5,,,,,2,,22,
,,ESL,11B,2139,NIGHTINGALE M D,4,6,1,,,,1,1,4,,17,
,,,,2140,LEVITT D J,,4,4,,,,3,4,6,,21,
,,,,2141,MARASCO J A,2,6,,2,,,9,3,4,,26,
,,,,2142,LEVITT D J,3,1,6,1,,,7,1,5,,24,
,,,,2143,KAHN A B,1,5,2,3,,,6,8,,,25,
,,,,2144,JO C J,3,6,6,4,,,,5,1,,25,
,,,,2145,KIM E,3,3,7,3,,,2,7,,,25,
,,,,4194,CERQUEIRA B L,3,5,6,1,,,3,3,3,,24,
,,ESL,14A,2146,MARASCO J A,6,14,3,1,3,,,,,,27,
,,ESL,14B,2147,MARASCO J A,10,15,2,1,5,,,,4,,37,
,,,,2148,SPECTOR A L,8,6,1,1,,,,,3,,19,
,,ESL,15,2149,BOSTWICK L H,10,8,,1,,,,,1,,20,
,,ESL,16A,2150,NIGHTINGALE M D,10,8,3,1,,,,1,,,23,
,,ESL,16B,2151,ASHLEIGH S B,1,6,10,3,5,,,1,12,,38,
,,,,2152,NIGHTINGALE M D,4,6,6,2,5,,,,7,,30,
,,ESL,16C,2153,ASHLEIGH S B,1,6,3,3,,,,,2,,15,
,,,,2154,NIGHTINGALE M D,8,7,2,1,,,,,11,,29,
,,ESL,17,2155,STIVENER M,4,4,3,4,,,,,6,,21,
,,ESL,20A,2156,ELLIS T L,11,1,4,2,,,,,3,,21,
,,,,2157,RANDALL T R,3,11,1,1,,,,5,1,,22,
,,ESL,20B,2158,ELLIS T L,11,14,8,3,1,,,,1,,38,
"Monday, May 16, 2016",,,,,,,,,,,,,,,,Page 51 of 98,
Department,Subject,Course,,Section,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
ESL,ESL,ESL,20B,2159,HARCLERODE J E,16,8,1,4,,,,,3,,32,
,,ESL,21A,2160,MCILROY L M,1,1,5,2,,,4,11,2,,26,
,,,,2161,IBARAKI A T,,1,6,5,1,,3,3,2,,21,
,,,,2162,LODMER E L,,3,6,1,,,8,12,1,,31,
,,,,2163,HOOVER J,,2,4,5,1,,3,2,6,,23,
,,,,2164,HOOVER J,,1,11,5,4,,3,,8,,32,
,,,,2165,MCILROY L M,1,6,6,5,,,1,14,,,33,
