Santa Monica College - Grade Distribution Fall 2013,,,,,,,,,,,,,,,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IP,IX,NP,P,W,Grand Total
,,,,1851,MATTESSICH S N,8,10,7,2,7,,,,,4,38,
,,,,1852,HERBERT S,5,14,6,4,2,,,,,4,35,
,,,,1853,HAMADA M J,8,9,2,1,,,1,,,3,24,
,,,,1854,DESAI D H,5,5,7,,,,,,,9,26,
,,,,1855,PAIK-SCHOENBERG J,2,3,9,4,5,,,,,12,35,
,,,,1856,COLTON P M,17,4,,1,,,,,,,22,
,,,,1857,VISHWANADHA H,1,,5,7,7,,,,,11,31,
,,,,1858,FREDRICK J A,3,8,4,7,1,,,,,4,27,
,,,,1859,ZEHR D M,10,9,2,10,,,,,,6,37,
,,,,1860,JU S,3,6,3,2,,,,,,7,21,
,,,,1862,HERTZ U L,1,8,10,1,1,,,,,4,25,
"Wednesday, March 05, 2014",,,,,,,,,,,,,,,,Page 34 of 87,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IP,IX,NP,P,W,Grand Total
English,ENGL,ENGL,1,1863,STIRLING M S,2,5,5,,5,,,,,4,21,
,,,,1864,KAUFFMAN S R,13,10,1,,3,,1,,,1,29,
,,,,1865,ARMS E D,15,6,1,,,,,,,3,25,
,,,,1866,RUBIO G H,4,6,8,3,1,,,,,2,24,
,,,,1867,GOODE S S,6,11,2,,,,,,,4,23,
,,,,1868,ARIEFF D E,6,11,7,,,,,,,1,25,
,,,,1869,KAPLAN M A,7,9,5,,,,,,,4,25,
,,,,1870,DESAI D H,6,5,5,1,,,,,,7,24,
,,,,1871,WINKLER K D,8,14,4,1,1,,,,,1,29,
,,,,1872,KARRON R,6,11,2,,1,,,,,4,24,
,,,,1873,MCQUEENEY E P,9,7,2,,1,,,,,7,26,
,,,,1874,KAUFFMAN S R,23,5,1,3,,,1,,,,33,
,,,,1875,BURAK C D,12,7,1,1,,,,,,3,24,
,,,,1876,KEMPER D E,2,6,5,3,6,,,,,6,28,
,,,,1877,ENGELMANN D S,14,9,2,,,,,,,,25,
,,,,1878,PACCHIOLI J J,11,,6,5,2,,,,,10,34,
,,,,1879,PADILLA M R,13,11,4,2,,,,,,5,35,
,,,,1880,ESPINOSA A A,6,8,6,1,,,,,,4,25,
,,,,1881,HERTZ U L,2,6,2,2,2,,,,,9,23,
,,,,1882,KAPLAN M A,8,12,2,1,,,,,,2,25,
,,,,1883,RUBIO G H,3,7,8,3,,,,,,2,23,
,,,,1884,KRUSOE J A,2,10,18,4,,,,,,7,41,
,,,,1885,PACCHIOLI J J,1,8,9,5,4,,,,,6,33,
,,,,1886,MATTESSICH S N,13,7,8,1,5,,,,,3,37,
,,,,1887,WATTS J W,12,18,3,1,,,,,,3,37,
,,,,1888,STEIN J A,4,10,2,3,1,,,,,4,24,
,,,,1889,MEEKS C,4,4,5,2,7,,,,,,22,
,,,,1890,ENGELMANN D S,8,12,2,,4,,,,,6,32,
,,,,1891,SIMPSON L E,7,11,8,,4,,,,,2,32,
,,,,1892,OVERALL S J,3,14,2,3,,,,,,4,26,
,,,,1893,FREDRICK J A,,9,12,1,,,,,,3,25,
,,,,1894,DAVIS C V,2,9,10,2,,,,,,1,24,
"Wednesday, March 05, 2014",,,,,,,,,,,,,,,,Page 35 of 87,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IP,IX,NP,P,W,Grand Total
English,ENGL,ENGL,1,1896,TURNER K E,5,6,4,3,6,,,,,4,28,
,,,,1897,MATTHEWS M N,1,8,7,5,,,,,,3,24,
,,,,1898,KRUSOE J A,3,16,12,1,1,,,,,6,39,
,,,,1900,DOUCET W J,7,6,9,2,,,5,,,6,35,
,,,,1901,REMMES J,2,6,8,6,5,,,,,8,35,
,,,,1902,REMMES J,2,11,8,6,2,,,,,4,33,
,,,,1903,SOSNER J A,8,4,6,,6,,,,,4,28,
,,,,1904,SOSNER J A,5,10,5,1,3,,,,,2,26,
,,,,1905,TYSON T L,2,10,7,2,1,,,,,3,25,
,,,,1906,MARTINEZ-GIL C,7,4,,,7,,,,,10,28,
,,,,1907,EDELMANN C,7,11,3,1,,,1,,,2,25,
,,,,1908,WILL L J,4,11,3,1,2,,2,,,1,24,
,,,,1909,LANE P D,11,7,,,,,,,,5,23,
,,,,1910,PHILLIPS L K,7,8,4,,,,,,,5,24,
,,,,1911,MURPHY E M,4,8,4,4,1,,,,,1,22,
,,,,1912,CAGGIANO S E,2,11,5,2,,,,,,4,24,
,,,,1913,OBA R K,3,5,6,7,,,,,,3,24,
,,,,1914,AGHABEGIAN DIANA E,5,8,5,1,,,,,,3,22,
,,,,1915,AGHABEGIAN DIANA E,5,3,,2,1,,,,,4,15,
,,,,1916,GUSTIN M J,5,,3,1,6,,,,,3,18,
,,,,1917,AGHABEGIAN DIANA E,9,4,,,2,,,,1,6,22,
,,,,1918,DEL GEORGE D K,5,4,4,1,4,,,,,6,24,
,,,,1919,DEL GEORGE D K,3,4,1,1,3,,,,,5,17,
,,,,1920,CRAMER T R,10,4,1,1,1,,,,,3,20,
,,,,1921,CRAMER T R,6,4,,1,2,,,,,6,19,
,,,,1922,CRAMER T R,8,3,2,2,,,,,,3,18,
,,,,1923,LYNCH J J,5,4,3,2,,,,,,6,20,
,,,,1924,LYNCH J J,7,5,1,1,4,,,,,3,21,
,,,,1925,REICHLE R E,4,6,4,1,1,,,,,4,20,
,,,,1926,GUSTIN M J,4,7,1,2,,,,,,6,20,
,,,,1927,DEL GEORGE D K,1,3,2,,5,,,,,3,14,
,,,,3347,SOLOTAR M,3,5,3,4,4,,,,,6,25,
"Wednesday, March 05, 2014",,,,,,,,,,,,,,,,Page 36 of 87,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IP,IX,NP,P,W,Grand Total
English,ENGL,ENGL,1,4166,LANE P D,7,8,2,2,,,,,,5,24,
,,,,4167,KEMPER D E,6,5,4,4,1,,,,,5,25,
,,,,4168,WILL L J,7,7,2,,4,,,,,3,23,
,,,,4169,PHILLIPS L K,4,5,4,2,,,,,,4,19,
,,,,4170,KLEIN R E,4,20,1,,,,,,,4,29,
,,,,4171,MURPHY E M,3,7,6,,1,,,,,6,23,
,,,,4172,OBA R K,3,9,6,,2,,,,,5,25,
,,,,4173,HALL J E,15,4,3,,3,,,,,1,26,
,,,,4174,MINAMI A M,6,3,6,,2,,,,,7,24,
,,,,4175,EDELMANN C,7,9,2,3,,,,,,4,25,
,,,,4177,TOBENKIN L E,5,9,4,,5,,,,,2,25,
,,ENGL,2,1929,FONSECA M L,5,8,6,1,2,,,,,3,25,
,,,,1930,ESPINOSA A A,2,10,6,2,3,,,,,3,26,
,,,,1931,MOTOIKE K J,5,13,3,2,2,,,,,5,30,
,,,,1932,HERBERT S,4,11,8,1,2,,,,,3,29,
,,,,1933,PADILLA M R,15,4,1,1,1,,,,,2,24,
,,,,1934,ARIEFF D E,10,9,2,,,,,,,4,25,
,,,,1935,VOGTSBERGER E D,19,6,2,,,,,,,2,29,
,,,,1936,BONAR H S,8,10,5,1,2,,,,,4,30,
,,,,1937,HANSEN N C,11,6,7,1,1,,,,,2,28,
,,,,1938,GARNICA A M,2,9,9,4,2,,,,,,26,
,,,,1939,DRISCOLL L V,11,12,,,,,,,,2,25,
,,,,1940,JONES ALTIERE M F,5,12,6,,,,,,,4,27,
,,,,1941,IRELAND S P,19,12,1,1,,,,,,2,35,
,,,,1942,HERBERT S,7,8,3,3,4,,,,,3,28,
,,,,1943,HERTZ U L,4,5,7,4,1,,,,,3,24,
,,,,1944,WATTS J W,9,16,4,,,,,,,1,30,
,,,,1945,BRIGSTOCKE J W,4,13,,,4,,,,,9,30,
,,,,1946,PADILLA E,4,4,8,,2,,,,,5,23,
,,,,1947,SIMPSON L E,17,8,,,,,,,,,25,
,,,,1948,PADILLA E,7,6,3,2,,,,,,2,20,
,,,,1949,ARIEFF D E,4,8,8,,2,,,,,1,23,
"Wednesday, March 05, 2014",,,,,,,,,,,,,,,,Page 37 of 87,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IP,IX,NP,P,W,Grand Total
English,ENGL,ENGL,2,1950,BOSTICK J D,14,2,2,7,,,,,,2,27,
,,,,1951,BRIGSTOCKE J W,4,15,2,,3,,,,,4,28,
,,,,1952,MOTOIKE K J,17,7,1,,,,,,,,25,
,,,,1953,COSTELLO K B,13,7,5,,2,,1,,,,28,
,,,,1954,MEYER E E,11,7,5,1,1,,1,,,2,28,
,,,,1955,SANDOVAL A,11,11,2,,1,,,,,3,28,
,,,,1956,MEIR N K,3,10,4,2,1,,1,,,2,23,
,,,,1957,YOUNG W H,1,8,5,,1,,,,,4,19,
,,,,1958,YOUNG R U,7,10,4,,,,,,,4,25,
,,,,1959,KARRON R,5,17,7,,,,,,,1,30,
,,,,1960,BURAK C D,7,13,1,,,,,,,3,24,
,,,,1961,DOUCET W J,21,13,5,,,,5,,,2,46,
,,,,1962,ROBERTS P A,24,,,,,,,,,,24,
,,,,1963,WATTS J W,11,15,1,,,,,,,,27,
,,,,1964,LANDAU D M E,,3,6,,1,,,,,15,25,
,,,,1965,MEEKS C,8,10,3,,1,,,,,1,23,
,,,,1966,CRAMER T R,17,3,1,,1,,,,,3,25,
,,,,1967,JOHNSON D J,6,14,5,1,,,,,,1,27,
,,,,1968,ARMS E D,14,12,,,,,,,,,26,
,,,,1969,GOODE S S,8,16,,,,,,,,,24,
,,,,1970,JU S,10,7,4,,2,,,,,4,27,
,,,,1971,LANE P D,15,6,2,,,,,,,4,27,
,,,,1972,CAGGIANO S E,7,10,5,,,,,,,4,26,
,,,,1973,DEL GEORGE D K,9,4,6,2,,,,,,2,23,
,,,,1974,MATTESSICH S N,18,7,,,,,,,,4,29,
,,,,1975,CRAMER T R,11,6,2,3,,,,,,3,25,
,,,,1976,PACCHIOLI J J,8,5,8,,,,,,,4,25,
,,,,1977,OBA R K,5,11,5,4,,,,,,2,27,
,,,,1978,FREDRICK J A,5,7,3,3,1,,,,,1,20,
,,,,1979,JONES ALTIERE M F,9,6,6,,,,,,,5,26,
,,,,1980,BELL S L,20,3,,,,,,,,3,26,
,,,,1981,KEMPER D E,6,8,5,2,1,,,,,5,27,
"Wednesday, March 05, 2014",,,,,,,,,,,,,,,,Page 38 of 87,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IP,IX,NP,P,W,Grand Total
English,ENGL,ENGL,2,1982,LANDAU D M E,2,4,4,3,2,,1,,,9,25,
,,,,1983,REMMES J,2,5,5,1,2,,,,,2,17,
,,,,1984,SCHAMP J L,6,10,,,2,,,,,1,19,
,,,,1985,JANAKOS L D,,4,3,1,4,,,,,8,20,
,,,,1986,LONGO J P,2,8,2,1,1,,,,,8,22,
,,,,1987,HASSMAN T,10,,5,1,,,,,,8,24,
,,,,1988,JANAKOS L D,6,2,3,1,2,,,,,7,21,
,,,,1989,JANAKOS L D,1,3,4,2,3,,,,,4,17,
,,,,1990,GUSTIN M J,4,7,3,3,2,,,,,2,21,
,,,,1991,HASSMAN T,2,4,3,1,4,,,,,7,21,
,,,,1992,LONGO J P,3,4,2,,2,,,,,6,17,
,,,,1993,BORETZ M S,6,7,3,1,,,,,,5,22,
,,,,1994,LYNCH J J,15,8,1,,,,,,,1,25,
,,,,3342,STERR S D,9,14,2,,,,,,,2,27,
,,,,3348,JU S,6,8,4,1,,,,,,5,24,
,,,,3380,CARLANDER D P,6,7,5,2,,,,,,4,24,
,,,,3390,MARTINEZ-GIL C,6,7,6,1,5,,,,,4,29,
,,,,3407,SLOBOD C G,6,6,2,2,1,,,,,7,24,
,,,,4178,DAVIS C V,3,5,6,,3,,,,,7,24,
,,,,4179,OVERALL S J,4,10,2,2,,,,,,6,24,
,,,,4180,HALL J E,18,4,,,1,,,,,1,24,
,,,,4181,ENGELMANN D S,11,8,2,,1,,,,,2,24,
,,,,4182,RAJSKI B,15,9,,1,,,,,,1,26,
,,,,4183,PADILLA M R,13,9,1,,3,,1,,,4,31,
,,,,4184,DINIRO D A,4,7,6,1,,,,,,5,23,
,,,,4185,MURPHY E M,10,7,1,1,,,,,,3,22,
,,ENGL,3,4186,HUMPHREY T F,18,1,,,,,1,,,2,22,
,,ENGL,4,1996,ZEHR D M,9,7,7,2,1,,,,,3,29,
,,,,4187,MATTESSICH S N,12,5,2,,2,,,,,7,28,
,,ENGL,5,1997,DRISCOLL L V,22,9,,1,,,,,,2,34,
,,,,4188,KLEIN R E,13,5,2,,2,,,,,2,24,
,,ENGL,6,1998,SIMPSON L E,13,10,5,1,,,,,,2,31,
"Wednesday, March 05, 2014",,,,,,,,,,,,,,,,Page 39 of 87,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IP,IX,NP,P,W,Grand Total
English,ENGL,ENGL,6,4189,KAPLAN M A,10,8,3,,,,,,,7,28,
,,ENGL,7,1999,PACCHIOLI J J,6,9,5,3,3,,,,,5,31,
,,ENGL,8,2000,RAJSKI B,15,9,,,1,,,,,3,28,
,,ENGL,10,2001,EDELMANN C,13,5,6,,,,,,,3,27,
,,ENGL,14,2002,ENGELMANN D S,15,9,2,,,,,,,4,30,
,,ENGL,15,2003,VISHWANADHA H,,3,5,5,2,,,,,6,21,
,,ENGL,20,2004,GARCIA M S,3,2,4,2,3,,,,,11,25,
,,,,2005,PARK K J,,,,,,,,4,16,2,22,
,,,,2006,BEARDSLEY J D,1,5,9,5,1,,,,,2,23,
,,,,2007,PAIK-SCHOENBERG J,1,6,4,5,,,,,,5,21,
,,,,2008,TODD G T,2,8,6,2,,,,,,8,26,
,,,,2009,BEARDSLEY J D,2,1,10,7,3,,,,,1,24,
,,,,2010,TODD G T,2,10,5,6,,,,,,5,28,
,,,,2011,BEARDSLEY J D,1,6,11,,5,,,,,2,25,
,,,,2012,HOTSINPILLER MATTHEW,2,5,4,1,5,,2,,,5,24,
,,,,2013,PRITCHARD L A,7,7,2,1,,,,,,8,25,
,,,,2014,TODD G T,5,7,5,3,,,,,,2,22,
,,,,2015,HOTSINPILLER MATTHEW,,4,5,1,,,2,,,7,19,
,,,,2016,FUCHS C A,1,6,6,4,1,,,,,3,21,
,,,,2017,PRITCHARD L A,3,7,5,1,2,,1,,,7,26,
,,,,2018,HOTSINPILLER MATTHEW,1,3,9,,1,,,,,7,21,
,,,,4190,WOODRUFF S K,12,,2,5,4,,,,,3,26,
,,,,4191,PRITCHARD L A,9,4,5,,3,,1,,,3,25,
,,ENGL,21,2019,HABEL L W,,8,11,,2,,,,,3,24,
,,,,2020,CARDENAS T P,8,10,4,,,,,1,,2,25,
,,,,2021,POSSEMATO F,13,7,2,,4,,,,,2,28,
,,,,2022,FUCHS C A,2,7,10,1,2,,,,,3,25,
,,,,2023,SANDOVAL A,1,8,5,2,3,,,,,7,26,
,,,,2024,HELLER G R,2,13,,,,,,,,7,22,
,,,,2025,HAMADA M J,10,6,4,1,,,,,,5,26,
,,,,2026,ANDERSON E,1,7,3,3,2,,,,,4,20,
,,,,2027,HABEL L W,2,16,4,,2,,,,,1,25,
"Wednesday, March 05, 2014",,,,,,,,,,,,,,,,Page 40 of 87,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IP,IX,NP,P,W,Grand Total
English,ENGL,ENGL,21,2028,ROSALES C M,2,5,7,1,2,,,,,8,25,
,,,,2029,NASON N B,4,10,7,3,2,,,,,2,28,
,,,,2030,BLACKWELL N,6,9,5,2,1,,,,,4,27,
,,,,2031,LOZADA C H,2,2,6,3,6,,,,,8,27,
,,,,2032,LACE N,13,3,4,,,,,,,1,21,
,,,,2033,DEMPSEY A L,14,2,4,2,2,,,,,2,26,
,,,,2034,KAUFFMAN S R,4,3,3,,3,,,,,4,17,
,,,,2035,GARCIA GU,11,4,3,1,2,,,,,,21,
,,,,2036,CARDENAS T P,7,8,4,4,,,,,,1,24,
,,,,2037,EBERLE B M,10,10,,2,3,,,,,1,26,
,,,,2038,POSSEMATO F,15,7,1,1,2,,,,,1,27,
,,,,2039,YUDELL J,3,7,9,5,2,,,,,5,31,
,,,,2040,FUCHS C A,2,10,10,,2,,,,,1,25,
,,,,2041,HELLER G R,1,9,4,1,2,,,,,6,23,
,,,,2042,YOUNG R U,2,10,6,4,,,,,,4,26,
,,,,2043,NASON N B,3,7,12,2,1,,,,,4,29,
,,,,2044,MISAGHI A M,9,4,5,1,3,,,,,2,24,
,,,,2045,ROSALES C M,5,14,,,3,,,,,3,25,
,,,,2046,HABEL L W,2,13,9,,1,,,,,1,26,
,,,,2047,ANDERSON E,3,3,7,4,3,,,,,4,24,
,,,,2048,COHEN S S,1,8,4,1,4,,,,,6,24,
,,,,2049,LANDAU D M E,,17,10,,,,,1,,6,34,
,,,,2050,NELSON LAUNA A,6,7,8,1,1,,,,,1,24,
,,,,2051,GARCIA M S,6,7,7,1,2,,,,,3,26,
,,,,2052,PADILLA E,11,5,13,,5,,,,,4,38,
,,,,2053,FONSECA M L,,8,12,5,3,,,,,9,37,
,,,,2054,HELLER G R,2,3,6,,1,,,,,12,24,
,,,,2055,CONSTANTIN G N,16,5,,,,,3,,,3,27,
,,,,2056,TRUBY D,1,6,12,2,4,,,,,,25,
,,,,2057,ANDERSON E,4,6,4,1,2,,,,,3,20,
,,,,2058,TYSON T L,3,11,2,,3,,,,,2,21,
,,,,2059,TRIPLETT J,4,5,5,3,,,,,,7,24,
"Wednesday, March 05, 2014",,,,,,,,,,,,,,,,Page 41 of 87,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IP,IX,NP,P,W,Grand Total
English,ENGL,ENGL,21,2060,DIXON M J,6,7,3,1,7,,,,,1,25,
,,,,2061,COHEN S S,2,8,4,2,3,,,,,3,22,
,,,,2062,SAHGAL P M,4,3,11,1,4,,,,,3,26,
,,,,2063,MILLER N A,5,9,4,,2,,,,,3,23,
,,,,2064,CARLANDER D P,2,8,8,1,,,,,,3,22,
,,,,2065,POSSEMATO F,18,1,1,2,,,,,,2,24,
,,,,2066,OVERALL S J,3,5,7,4,,,,,,9,28,
,,,,2067,CARDENAS T P,9,3,9,3,,,,,,1,25,
,,,,2068,DEMPSEY A L,13,10,1,,1,,,,,,25,
,,,,2069,FUCHS C A,3,7,11,2,2,,,,,,25,
,,,,2070,CONSTANTIN G N,14,10,,,,,2,,,1,27,
,,,,2071,MISAGHI A M,4,10,5,,2,,,,,3,24,
,,,,2072,TYSON T L,1,11,3,,6,,,,,4,25,
,,,,2074,CAMPBELL L A,4,12,5,,2,,,,,5,28,
,,,,2075,YOUNG R U,3,12,7,,1,,,,,1,24,
,,,,2076,DEMPSEY A L,8,5,3,,1,,,,,5,22,
,,,,2077,NELSON LAUNA A,3,9,6,1,2,,,,,4,25,
,,,,2078,TURNER K E,2,4,12,1,4,,,,,3,26,
,,,,2079,MISAGHI A M,2,9,6,1,4,,,,,3,25,
,,,,2080,LANDAU D M E,,1,13,6,,,,,,10,30,
,,,,2081,MAVROMATI A C,4,10,4,2,4,,,,,5,29,
,,,,2083,NELSON LAUNA A,7,6,6,,1,,,,,4,24,
,,,,2085,RAJSKI B,10,9,1,,2,,,,,1,23,
,,,,2086,CONSTANTIN G N,11,10,,,,,1,,,3,25,
,,,,4192,PADILLA E,9,10,6,,3,,,,2,3,33,
,,,,4194,LOZADA C H,3,7,3,1,1,,,,,9,24,
,,,,4195,BELL S L,4,2,4,3,6,,,,,2,21,
,,,,4196,LOZADA C H,4,5,4,3,2,,,,,5,23,
,,,,4197,BELL S L,6,4,4,4,2,,,,,6,26,
,,ENGL,21,2087,MEYER E E,4,11,6,1,1,,,,,2,25,
,,,,2088,GRIFFY W J,1,9,5,2,1,,,,,6,24,
,,,,2089,JOHNSON D J,2,9,9,1,,,,,,5,26,
"Wednesday, March 05, 2014",,,,,,,,,,,,,,,,Page 42 of 87,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IP,IX,NP,P,W,Grand Total
English,ENGL,ENGL,21,2090,DEL PRINCIPE K D,1,10,8,2,2,,,,,1,24,
,,,,2091,LEMON W R,3,11,4,1,2,,,,,4,25,
,,,,2092,BLACKWELL N,5,10,3,5,2,,,,,5,30,
,,,,2093,NOLAN-COFFMAN M P,,5,8,3,3,,,,,6,25,
,,,,2094,GRIFFY W J,4,10,7,,3,,,,,3,27,
,,,,2095,MEYER E E,3,11,7,4,2,,,,,1,28,
,,,,2096,JOHNSON D J,2,6,11,5,,,,,,3,27,
,,,,2097,CANO D R,,3,10,9,4,,,1,,2,29,
,,,,2098,LEMON W R,1,13,5,2,2,,,,,3,26,
,,,,2099,BOSTICK J D,4,14,3,3,,,,,2,2,28,
,,,,2100,DIXON M J,1,4,2,2,6,,,,,4,19,
,,,,2101,ROSALES C M,2,3,,,4,,,,,1,10,
,,,,2102,DIXON M J,1,7,4,,10,,,,,4,26,
,,,,2103,GRIFFY W J,4,9,4,1,1,,,,,5,24,
,,,,2104,DOUCET W J,5,11,11,8,,,2,1,,3,41,
,,,,2105,LEMON W R,4,7,6,1,6,,,,,4,28,
,,,,2106,BOSTICK J D,3,17,1,3,,,,,,,24,
,,,,2107,MENTON K T,,2,7,3,4,,1,,,7,24,
,,,,2108,CANO D R,2,5,17,2,1,,,,,6,33,
,,,,2109,WILL L J,3,7,7,,4,,,,,3,24,
,,,,2110,DOUCET W J,4,10,15,4,,,3,,,3,39,
,,,,2111,TRIPLETT J,2,7,4,1,5,,,,,8,27,
,,,,2112,NONE 72,,3,5,5,6,,,,,4,23,
,,,,2113,TRIPLETT J,3,3,6,4,7,,,,,6,29,
,,,,2114,VISHWANADHA H,,,5,4,11,,,,,6,26,
,,,,3346,SOLOTAR M,,4,6,6,3,,,,,5,24,
,,,,3374,MATTHEWS M N,,11,5,4,,,,,,3,23,
,,,,3381,O'HARA D M,1,4,5,1,6,,,,,8,25,
,,,,3397,PAK M,4,8,4,,5,,,,,4,25,
,,,,4198,PHILLIPS L K,5,8,5,,,,,,,6,24,
,,,,4199,SURENDRANATH L C,5,7,9,,2,,,,,2,25,
,,ENGL,22,2115,ROBERTS P S,2,4,3,1,6,,,,1,5,22,
"Wednesday, March 05, 2014",,,,,,,,,,,,,,,,Page 43 of 87,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IP,IX,NP,P,W,Grand Total
English,ENGL,ENGL,23,2116,HARTMAN M,7,5,7,1,,,,,,4,24,
,,,,2117,SANDSTROM J L,1,5,3,3,4,,,,,6,22,
,,,,2118,SANDSTROM J L,1,4,3,5,3,,,,,7,23,
,,,,2119,HARTMAN M,8,8,3,2,,,,,,,21,
,,ENGL,26,2121,REMMES J,1,6,1,,2,,,,,3,13,
,,ENGL,30,2122,PADILLA M R,21,5,2,,,,,,,4,32,
,,,,2123,CANO D R,12,5,3,,,,,,,3,23,
,,,,4202,KRUSOE J A,24,,,,,,,,3,2,29,
,,,,4203,PADILLA M R,14,3,1,,,,,,,,18,
,,,,4518,KRUSOE J A,,3,,,,,,,,1,4,
,,ENGL,30,2124,PADILLA M R,3,1,,,,,,,,1,5,
,,,,2125,CANO D R,3,1,,,,,,,,,4,
,,,,4204,PADILLA M R,4,,,,,,,,,,4,
,,,,4205,KRUSOE J A,11,,,,,,,,,7,18,
,,ENGL,31,2126,CAGGIANO S E,7,8,4,1,1,,,,,6,27,
,,ENGL,34,4206,DOUCET W J,5,6,,,,,5,,,4,20,
,,ENGL,40,2127,VISHWANADHA H,1,3,8,2,5,,,,,4,23,
,,ENGL,48,2128,STEEBER S J,4,12,2,1,3,,,1,1,7,31,
,,ENGL,50,4207,DOTEN D G,6,4,5,1,2,,,,,9,27,
,,ENGL,51,4208,REMMES J,2,2,2,,,,,,,2,8,
,,ENGL,52,4209,DEL GEORGE D K,8,1,,,1,,,,,3,13,
,,ENGL,80,2129,SHAPIRO E P,,,,,,,,1,20,3,24,
,,ENGL,84,2130,HARTMAN M,,,,,,,,1,14,4,19,
,,ENGL,84,2132,YUDELL J,,,,,,,,9,3,8,20,
,,,,2134,YUDELL J,,,,,,,,8,9,7,24,
,,ENGL,85,2135,MARKARIAN E A,,,,,,,,,26,3,29,
,,,,2136,CAMPBELL L A,,,,,,,,7,20,1,28,
,,,,2137,MARKARIAN E A,,,,,,,,2,26,2,30,
,,,,2138,JAMES K R,,,,,,,,2,21,2,25,
,,,,2139,DAVISON,IV G S,,,,,,,4,17,,21,
,,,,2140,JAMES K R,,,,,,,,7,11,6,24,
,,,,2141,CAMPBELL L A,,,,,,,,4,18,3,25,
"Wednesday, March 05, 2014",,,,,,,,,,,,,,,,Page 44 of 87,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IP,IX,NP,P,W,Grand Total
English,ENGL,ENGL,85,2142,DAVISON,IV G S,,,,,,,7,18,1,26,
,,,,2143,WEATHERFORD K C,,,,,,,,2,24,3,29,
,,,,2144,HIOUREAS E C,,,,,,,,8,15,3,26,
,,,,2145,KLEMP R M,,,,,,,,1,21,8,30,
,,,,2146,KLEMP R M,,,,,,,,1,26,4,31,
,,,,2147,WRIGHT N E,,,,,,,,,25,,25,
,,,,2148,DURAN A,,,,,,,,1,18,11,30,
,,,,2149,MARKARIAN E A,,,,,,,,,24,,24,
,,,,2150,HIOUREAS E C,,,,,,,,6,9,10,25,
,,,,2151,DAVISON,IV G S,,,,,,,7,11,5,23,
,,,,2152,JAMES K R,,,,,,,,7,11,9,27,
,,,,2153,HIOUREAS E C,,,,,,,,3,16,7,26,
,,,,2154,WEATHERFORD K C,,,,,,,,4,18,5,27,
,,,,2155,WRIGHT N E,,,,,,,,3,16,3,22,
,,,,2156,COLTON P M,,,,,,,,1,22,1,24,
,,,,2157,MILLER N A,,,,,,,,6,17,1,24,
,,,,2158,SCHNITZLER A P,,,,,,,,1,16,9,26,
,,,,2159,SCHNITZLER A P,,,,,,,,3,18,7,28,
,,,,2160,O'HARA D M,,,,,,,,5,17,3,25,
,,,,2161,KRUG J M,,,,,,,,6,17,1,24,
,,,,2162,SHAPIRO E P,,,,,,,,4,18,3,25,
,,,,4210,WEATHERFORD K C,,,,,,,,3,21,3,27,
,,,,4211,SHAPIRO E P,,,,,,,,4,16,1,21,
,HUM,HUM,26,2472,REMMES J,,3,1,,1,,,,,,5,
,REL ST,REL ST 51,,4473,REMMES J,2,3,1,1,5,,,,1,3,16,
,,REL ST 52,,4474,DEL GEORGE D K,6,5,4,,1,,,,,1,17,
ESL,ESL,ESL,10G,2166,KAHN A B,5,2,11,2,,,,,,2,22,
,,,,2167,LODMER E L,1,8,7,4,2,,,,,2,24,
,,,,2168,ELLIS T L,5,17,1,2,4,,,,,,29,
,,,,2169,WOLFE R A,1,8,7,4,3,,,,,1,24,
,,,,4215,WALKER D D,3,11,3,4,4,,,,,1,26,
,,ESL,10W,2170,KUNIMOTO T A,1,12,7,1,3,,,,,1,25,
"Wednesday, March 05, 2014",,,,,,,,,,,,,,,,Page 45 of 87,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IP,IX,NP,P,W,Grand Total
ESL,ESL,ESL,10W,2171,HARCLERODE J E,4,8,11,4,,,,,,1,28,
,,,,2172,SPECTOR A L,1,7,8,4,1,,,,1,2,24,
,,,,2173,STIVENER M,1,4,15,2,,,,,,3,25,
,,,,4216,DELLAPASQUA L C,1,9,2,6,1,,,1,,3,23,
,,ESL,11A,2174,LEVITT D J,1,5,9,4,1,,,1,,3,24,
,,,,2175,MARASCO J A,,2,16,8,1,,,,,,27,
,,,,2176,NIGHTINGALE M D,,5,10,6,1,,,,,,22,
,,,,2177,JAFFE S R,,4,7,9,,,,,,5,25,
,,,,2178,HAHN CH S,,3,12,3,1,,,,1,4,24,
,,,,2179,GRAZIADEI K N,1,6,5,5,6,,,,,4,27,
