Santa Monica College - Grade Distribution Spring 2012,,,,,,,,,,,,,,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IX,NP,P,W,Total
,,,,1862,STEIN J A,4,16,1,1,,,,,4,26,
,,,,1863,ARMS E D,14,9,1,,,,,,2,26,
,,,,1864,ARIEFF D E,6,8,5,2,3,,,,1,25,
,,,,1865,YOUNG W H,2,5,8,3,1,,,,5,24,
"Monday, October 15, 2012",,,,,,,,,,,,,,Page 37 of 88,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IX,NP,P,W,Total
English,ENGL,ENGL,2,1866,SLOBOD C G,5,10,6,1,,,,,3,25,
,,,,1867,KARRON R,11,16,1,,,,,,1,29,
,,,,1868,DIXON M J,13,10,1,1,3,,,,2,30,
,,,,1869,DOUCET W J,18,9,7,,,1,,,4,39,
,,,,1870,WATTS J W,11,15,1,,,,,,2,29,
,,,,1871,KEMPER D E,6,15,2,2,,,,,1,26,
,,,,1872,KAPLAN M A,7,14,3,,,,,,,24,
,,,,1873,BURAK C D,8,9,3,1,,,,,2,23,
,,,,1874,CRAMER T R,15,6,,,2,,,,,23,
,,,,1875,RAJSKI B,15,10,,,,,,,1,26,
,,,,1876,GOODE S S,8,14,1,,,,,,2,25,
,,,,1877,JONES ALTIERE M F,11,6,2,2,2,,,,2,25,
,,,,1878,PARK S M,16,6,,,1,,,,2,25,
,,,,1879,MANNONE D R,6,15,1,2,3,,,,4,31,
,,,,1880,BRYER E J,13,12,2,,1,,,,1,29,
,,,,1881,LANE P D,10,9,3,2,,,,,1,25,
,,,,1882,EDELMANN C,10,12,,,,,,,2,24,
,,,,1883,KAPLAN M A,12,5,4,2,,,,,1,24,
,,,,1884,FREDRICK J A,12,11,,,3,,,,3,29,
,,,,1885,DEL GEORGE D K,13,5,1,2,1,,,,2,24,
,,,,1886,CRAMER T R,6,8,3,,3,,,,2,22,
,,,,1887,MATTESSICH S N,14,4,1,1,2,,,,1,23,
,,,,1888,PACCHIOLI J J,8,6,6,2,1,,,,2,25,
,,,,1889,LANDAU D M E,1,9,5,3,,,,,6,24,
,,,,1890,LANE P D,13,9,1,,,,,,3,26,
,,,,1891,LANDAU D M E,3,7,3,2,1,,,,9,25,
,,,,1892,FREDRICK J A,7,5,,,3,,,,4,19,
,,,,1893,HASSMAN T,5,6,1,3,3,,,,3,21,
,,,,1894,HASSMAN T,7,7,,3,2,,,,5,24,
,,,,1895,GUSTIN M J,7,5,3,,2,,1,,4,22,
"Monday, October 15, 2012",,,,,,,,,,,,,,Page 38 of 88,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IX,NP,P,W,Total
English,ENGL,ENGL,2,1896,SCHAMP J L,9,11,,,,,,,,20,
,,,,1897,LONGO J P,5,10,3,,,,,,5,23,
,,,,1898,JANAKOS L D,6,5,3,1,3,,,,4,22,
,,,,1899,JANAKOS L D,2,4,6,1,4,,,,3,20,
,,,,1900,GUSTIN M J,3,9,2,3,2,,,,1,20,
,,,,1901,GUSTIN M J,6,7,5,,3,,,,2,23,
,,,,1902,REMMES J,2,7,2,4,,,,,3,18,
,,,,3191,JONES ALTIERE M F,8,4,10,,1,,,,5,28,
,,,,4150,KEMPER D E,12,9,4,,1,,,,1,27,
,,,,4151,DAVIS C V,7,10,8,,,,,,2,27,
,,,,4152,MURPHY E M,11,7,3,,3,,,,1,25,
,,,,4153,DOUCET W J,24,11,2,1,1,,,,1,40,
,,,,4154,BELL S L,15,8,1,,1,,,,,25,
,,,,4155,ENGELMANN D S,8,10,3,,1,,,,4,26,
,,,,4156,OBA R K,12,9,1,2,,,,,2,26,
,,,,4157,KLEIN R E,10,8,4,3,1,,,,7,33,
,,,,4158,KLEIN R E,12,5,5,4,2,,,,3,31,
,,ENGL,3,4159,HUMPHREY T F,27,,,,1,,,,5,33,
,,ENGL,4,1904,ZEHR D M,11,7,6,3,4,,,,5,36,
,,,,4160,MATTESSICH S N,9,12,3,,1,,,,4,29,
,,ENGL,5,1905,DRISCOLL L V,36,,,,,,,,1,37,
,,,,4161,LARSEN L L,2,6,16,2,4,,,,4,34,
,,ENGL,6,1906,DOSSETT G H,10,14,3,,3,1,,,3,34,
,,,,4162,SIMPSON L E,8,19,2,,2,,,,1,32,
,,ENGL,7,1907,PACCHIOLI J J,7,8,10,1,1,,,,7,34,
,,ENGL,8,1908,RAJSKI B,12,7,1,,3,,,,3,26,
,,ENGL,10,1909,MOTOIKE K J,15,4,3,,1,1,,,3,27,
,,ENGL,14,1910,ENGELMANN D S,10,6,1,1,2,,,,10,30,
,,ENGL,15,4163,DINIRO D A,6,13,6,,,,,,3,28,
,,ENGL,18,1911,MEEKS C,8,6,9,1,4,,,1,4,33,
"Monday, October 15, 2012",,,,,,,,,,,,,,Page 39 of 88,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IX,NP,P,W,Total
English,ENGL,ENGL,20,1912,BEARDSLEY J D,2,10,7,1,1,5,,,,26,
,,,,1913,MARKARIAN E A,5,15,8,3,,,,,1,32,
,,,,1914,MARKARIAN E A,7,16,9,,,,,,,32,
,,,,1915,PAIK-SCHOENBERG J,5,5,2,5,,5,,,3,25,
,,,,1916,BEARDSLEY J D,2,5,9,1,,3,,,7,27,
,,,,1917,TODD G T,2,11,12,,,,,,2,27,
,,,,1918,TODD G T,5,4,10,1,,1,,,5,26,
,,,,1919,BEARDSLEY J D,2,8,6,4,,4,,,2,26,
,,,,1920,DEMPSEY A L,14,3,4,1,,4,,,2,28,
,,,,1921,HOTSINPILLER MATTHEW,2,10,8,,,1,,,4,25,
,,,,1922,PAIK-SCHOENBERG J,2,6,7,1,,4,,,4,24,
,,,,1923,TODD G T,3,9,8,,,,,,8,28,
,,,,1924,GORGIE J L,2,7,8,5,,3,,,1,26,
,,,,1925,PARK K J,1,7,5,2,,5,,,4,24,
,,,,1926,GORGIE J L,5,6,12,1,,2,,,1,27,
,,,,1927,HOTSINPILLER MATTHEW,2,8,5,3,,1,,,4,23,
,,,,4164,GORGIE J L,2,5,9,2,,2,,,,20,
,,ENGL,21,1928,HABEL L W,,11,9,,,3,,,4,27,
,,,,1929,JU S,5,6,12,1,,6,,,6,36,
,,,,1930,FUCHS C A,3,4,6,3,,4,,,5,25,
,,,,1931,CARDENAS T P,3,1,8,7,,,,,4,23,
,,,,1932,LOZADA C H,2,4,1,1,11,,,,5,24,
,,,,1933,ANDERSON E,2,1,5,3,,4,,,4,19,
,,,,1934,CAMPBELL L A,4,9,12,3,,3,,1,5,37,
,,,,1935,PAIK-SCHOENBERG J,4,3,5,4,,3,,,7,26,
,,,,1936,HABEL L W,1,10,9,,,2,,,6,28,
,,,,1937,MATTHEWS M N,3,5,5,3,,1,,,7,24,
,,,,1938,LEMON W R,3,6,5,1,,5,,,4,24,
,,,,1939,CARDENAS T P,2,13,5,4,,,,,1,25,
,,,,1940,HAMADA M J,7,2,8,1,,1,,,7,26,
"Monday, October 15, 2012",,,,,,,,,,,,,,Page 40 of 88,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IX,NP,P,W,Total
English,ENGL,ENGL,21,1941,CAMPBELL L A,1,17,8,1,1,,,,5,33,
,,,,1942,DOSSETT G H,3,8,10,2,3,,,,9,35,
,,,,1943,HABEL L W,2,12,4,1,4,,,,2,25,
,,,,1944,LEMON W R,2,4,7,1,9,,,,1,24,
,,,,1945,FONSECA M L,1,7,8,5,4,,,,10,35,
,,,,1946,CARDENAS T P,3,9,4,7,,,,1,1,25,
,,,,1947,BLACKWELL N,2,8,3,3,3,,,,5,24,
,,,,1948,SCHNITZLER A P,,4,19,1,1,,,,4,29,
,,,,1949,KAUFFMAN S R,3,9,2,3,4,,,1,1,23,
,,,,1950,HAMADA M J,5,4,3,4,,1,,,4,21,
,,,,1951,PARK K J,4,6,9,2,7,,,,1,29,
,,,,1952,BLACKWELL N,4,6,2,2,5,,1,,5,25,
,,,,1953,PAIK-SCHOENBERG J,2,6,8,1,4,,,,3,24,
,,,,1954,SCHNITZLER A P,3,2,12,3,1,,,,6,27,
,,,,1955,DOSSETT G H,,15,7,2,2,,,,9,35,
,,,,1956,LANDAU D M E,,,7,5,1,4,,,17,34,
,,,,1957,LANDAU D M E,,,9,1,6,,,,17,33,
,,,,1958,NELSON LAUNA A,4,6,3,1,7,,,,5,26,
,,,,1959,BELL S L,5,5,2,,6,,,,7,25,
,,,,1960,MURPHY E M,3,7,2,3,4,,,,4,23,
,,,,3189,LOZADA C H,3,,5,,10,,,,4,22,
,,,,4165,PADILLA E,9,3,10,,9,,,,5,36,
,,,,4166,PADILLA E,13,8,6,,5,,,,6,38,
,,,,4167,WOODRUFF S K,2,3,5,1,7,,,,6,24,
,,,,4168,HARTMAN T R,5,8,2,,2,,,,10,27,
,,,,4169,BELL S L,5,3,3,,12,,,,6,29,
,,,,4170,MORGAN R E,1,6,4,1,4,,,,6,22,
,,ENGL,21,1961,LAHEY M J,1,5,11,3,5,,,,1,26,
,,,,1962,MEYER E E,,8,13,1,3,,,,1,26,
,,,,1963,SCHNITZLER A P,,7,14,,,,,,6,27,
"Monday, October 15, 2012",,,,,,,,,,,,,,Page 41 of 88,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IX,NP,P,W,Total
English,ENGL,ENGL,21,1964,SOLOTAR M,1,1,7,10,2,,,,3,24,
,,,,1965,MEYER E E,,8,12,2,2,,,,2,26,
,,,,1966,ROBERTS P S,5,8,11,,5,,,,1,30,
,,,,1967,MATTHEWS M N,4,10,5,5,,2,,,4,30,
,,,,1968,ALCORACE L M,3,9,4,1,1,,,,7,25,
,,,,1969,LAHEY M J,,8,8,4,4,,,,2,26,
,,,,1970,GUNSON M J,,6,12,4,2,,,,2,26,
,,,,1971,MISAGHI A M,6,8,9,1,3,,,,,27,
,,,,1972,JOHNSON D J,3,8,10,2,2,,,,,25,
,,,,1973,CANO D R,,6,7,6,4,,,,4,27,
,,,,1974,OVERALL S J,3,9,9,2,1,,,,3,27,
,,,,1975,MEYER E E,1,12,7,4,2,1,,,,27,
,,,,1976,KAUFFMAN S R,8,13,7,,1,,,1,1,31,
,,,,1977,MEIR N K,7,9,3,,,,,,5,24,
,,,,1978,MENTON K T,10,12,,1,1,,,,4,28,
,,,,1979,MANNONE D R,3,12,7,2,3,,,,2,29,
,,,,1980,DOUCET W J,3,11,7,13,,2,,1,3,40,
,,,,1981,GRIFFITH S L,9,12,1,,3,,,,2,27,
,,,,1982,MISAGHI A M,2,15,5,1,2,,,,1,26,
,,,,1983,JOHNSON D J,1,5,10,6,1,,,,3,26,
,,,,1984,MENTON K T,,8,12,2,4,,,,2,28,
,,,,1985,DOUCET W J,17,8,5,5,,,,,5,40,
,,,,1986,CANO D R,,6,16,8,4,,,,2,36,
,,,,1987,GRIFFITH S L,13,7,1,,2,,,,6,29,
,,,,1988,NELSON LAUNA A,5,4,11,,6,,,,2,28,
,,,,3190,LAHEY M J,,6,10,4,4,,,1,3,28,
,,,,4171,DIXON M J,2,15,2,2,8,,,,1,30,
,,,,4172,SURENDRANATH L C,8,7,3,1,2,,,,8,29,
,,,,4173,PHILLIPS L K,3,9,4,3,,,,,4,23,
,,,,4174,PHILLIPS L K,5,8,5,3,,,,,5,26,
"Monday, October 15, 2012",,,,,,,,,,,,,,Page 42 of 88,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IX,NP,P,W,Total
English,ENGL,ENGL,22,1989,GUNSON M J,2,3,12,1,3,,,,4,25,
,,ENGL,23,1990,DEMPSEY A L,7,2,3,5,6,,,,,23,
,,,,1991,NASON N B,11,,5,2,2,,,,6,26,
,,,,1992,SANDSTROM J L,5,3,2,6,1,,,,3,20,
,,,,1993,HOTSINPILLER MATTHEW,,5,10,3,7,,,,1,26,
,,,,1994,SANDSTROM J L,2,7,3,4,4,,,,5,25,
,,,,3218,HARTMAN M,1,,,,,,,,,1,
,,,,4175,WOODRUFF S K,1,5,4,3,3,,,1,6,23,
,,ENGL,24,1995,THEISS N L,2,6,4,,5,3,,,5,25,
,,ENGL,26,1996,REMMES J,,3,1,,3,,1,,3,11,
,,ENGL,30,1997,PADILLA M R,19,6,5,,6,,,,3,39,
,,,,1998,CANO D R,9,8,,2,,,,,3,22,
,,,,4176,KRUSOE J A,27,,,,,,,2,5,34,
,,,,4177,PADILLA M R,17,3,,,1,,,,6,27,
,,ENGL,30,1999,PADILLA M R,6,,1,,,,,,,7,
,,,,2000,CANO D R,2,2,1,,,,,,,5,
,,,,4178,PADILLA M R,3,,,,,,,,2,5,
,,,,4179,KRUSOE J A,23,,,,,,,,2,25,
,,ENGL,31,2001,CAGGIANO S E,4,8,4,3,,1,,,3,23,
,,,,2002,REICHLE R E,11,2,3,1,3,,,1,2,23,
,,ENGL,39,2003,BORETZ M S,9,3,4,,,,,,5,21,
,,ENGL,48,2004,STEEBER S J,6,5,2,2,,,,3,5,23,
,,ENGL,50,4180,DOTEN D G,11,1,6,3,8,3,,,3,35,
,,ENGL,51,4181,REMMES J,4,1,,,2,,,1,1,9,
,,ENGL,52,4182,DEL GEORGE D K,7,1,2,,,,,,3,13,
,,ENGL,57,4183,PADILLA M R,18,1,1,,5,,,,9,34,
,,ENGL,80,2005,SHAPIRO E P,,,,,,,2,12,3,17,
,,ENGL,81,2006,SANTILENA J A,,,,,,,4,18,2,24,
,,,,2007,KAGAYA C,,,,,,,8,16,1,25,
,,,,2008,RUBIO G H,,,,,,,3,19,4,26,
"Monday, October 15, 2012",,,,,,,,,,,,,,Page 43 of 88,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IX,NP,P,W,Total
English,ENGL,ENGL,81,2009,YUDELL J,,,,,,,18,5,4,27,
,,,,2010,YUDELL J,,,,,,,13,7,4,24,
,,,,2011,RUBIO G H,,,,,,,4,14,7,25,
,,ENGL,83,2012,WRIGHT N E,,,,,,,4,14,5,23,
,,,,2013,KLEMP R M,,,,,,,,18,2,20,
,,,,2014,WRIGHT N E,,,,,,,4,18,2,24,
,,,,2015,WRIGHT N E,,,,,,,2,16,4,22,
,,,,2016,KAGAYA C,,,,,,,8,12,5,25,
,,,,2017,SHAPIRO E P,,,,,,,8,17,2,27,
,,,,3217,KRUG J M,,,,,,,,,1,1,
,,,,4493,KRUG J M,,,,,,,1,,,1,
,,ENGL,84,2018,FELDMAN G J,,,,,,,9,10,2,21,
,,,,2019,HARTMAN M,,,,,,,,21,3,24,
,,,,2020,NASON N B,,,,,,,5,14,4,23,
,,,,2021,FELDMAN G J,,,,,,,8,9,4,21,
,,,,2022,HARTMAN M,,,,,,,,20,3,23,
,,,,2023,HARTMAN M,,,,,,,1,12,1,14,
,,,,2024,KRUG J M,,,,,,,1,7,2,10,
,,,,4184,KRUG J M,,,,,,,,11,2,13,
,,ENGL,84,2025,HELLER G R,,,,,,,10,8,7,25,
,,,,2026,SANTILENA J A,,,,,,,1,18,6,25,
,,,,2027,HELLER G R,,,,,,,8,12,5,25,
,,,,2028,YUDELL J,,,,,,,12,7,5,24,
,,,,2029,SANTILENA J A,,,,,,,,23,2,25,
,,,,2030,BEAUREGARD S A,,,,,,,8,16,,24,
,,,,2031,HELLER G R,,,,,,,8,4,6,18,
,,,,2032,BEAUREGARD S A,,,,,,,1,10,9,20,
,,ENGL,85,2033,JAMES K R,,,,,,,3,17,3,23,
,,,,2034,CAMPBELL L A,,,,,,,4,19,2,25,
,,,,2035,JAMES K R,,,,,,,7,14,6,27,
"Monday, October 15, 2012",,,,,,,,,,,,,,Page 44 of 88,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IX,NP,P,W,Total
English,ENGL,ENGL,85,2036,DAVISON,IV G S,,,,,,2,16,7,25,
,,,,2037,DAVISON,IV G S,,,,,,5,17,5,27,
,,,,2038,HIOUREAS E C,,,,,,,6,16,4,26,
,,,,2039,KLEMP R M,,,,,,,,26,6,32,
,,,,2040,JAMES K R,,,,,,,9,11,5,25,
,,,,2041,MARKARIAN E A,,,,,,,,18,6,24,
,,,,2042,DAVISON,IV G S,,,,,,1,16,6,23,
,,,,2043,HIOUREAS E C,,,,,,,4,13,3,20,
,,,,2044,HIOUREAS E C,,,,,,,13,8,4,25,
,,,,2045,SHAPIRO E P,,,,,,,7,18,,25,
,,,,4185,SHAPIRO E P,,,,,,,8,12,,20,
,HUM,HUM,26,2335,REMMES J,1,3,,,3,,,,4,11,
,REL ST,REL ST 51,,4446,REMMES J,2,2,7,1,8,,,,2,22,
,,REL ST 52,,4447,DEL GEORGE D K,10,1,,1,4,,,,1,17,
ESL,ESL,ESL,10G,2049,SPECTOR A L,2,6,8,5,1,,,,1,23,
,,,,2050,LODMER E L,8,8,3,2,,,,1,6,28,
,,,,2051,ELLIS T L,8,8,7,2,2,,,,1,28,
,,,,4188,GRAZIADEI K N,4,12,6,1,,,1,,4,28,
,,ESL,10W,2052,LEVITT D J,1,8,8,4,2,,,,2,25,
,,,,2053,HARCLERODE J E,4,13,13,3,1,,,,2,36,
,,,,2054,SEIDMAN KA D,4,12,5,2,1,,,,2,26,
,,,,4189,LERNIHAN V,3,9,8,4,2,,,,,26,
,,ESL,11A,2055,KAHN A B,1,9,12,1,1,,,,1,25,
,,,,2056,MARASCO J A,,6,11,7,1,,,,,25,
,,,,2057,NIGHTINGALE M D,,4,14,6,1,,,,1,26,
,,,,2058,JAFFE S R,3,5,10,3,6,,,1,,28,
,,,,2059,KIM E,,6,10,7,2,,,,1,26,
,,,,2060,SEIDMAN KA D,1,5,13,3,4,,,,,26,
,,,,2061,THATTE V,6,10,6,1,2,,,,,25,
,,,,2062,HOROWITZ R S,,3,12,7,2,,,,2,26,
"Monday, October 15, 2012",,,,,,,,,,,,,,Page 45 of 88,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IX,NP,P,W,Total
ESL,ESL,ESL,11A,2063,STIVENER M,,20,5,,,,,,,25,
,,,,4190,CERQUEIRA B L,1,6,8,6,4,,,,1,26,
,,ESL,11B,2064,NIGHTINGALE M D,5,6,6,,,,3,8,1,29,
,,,,2065,HOOVER J,,4,6,,2,,1,6,3,22,
,,,,2066,KAHN A B,1,11,3,,4,,1,6,,26,
,,,,2067,HOOVER J,,4,,,6,,3,8,3,24,
,,,,2068,HOOVER J,6,6,4,,3,,,3,3,25,
,,,,2069,THATTE V,10,12,,,,,,2,1,25,
,,,,4191,HUALPA L,1,7,4,,3,,2,7,1,25,
,,ESL,14A,2070,BRONSTEIN M G,15,7,5,1,,,,,5,33,
,,ESL,14B,2071,BRONSTEIN M G,12,9,10,,2,,,,1,34,
,,,,2072,SPECTOR A L,13,4,2,,5,,,1,2,27,
,,ESL,15,2073,BRONSTEIN M G,13,5,8,1,5,,,,1,33,
,,,,2074,ELLIS T L,10,12,6,1,3,,,,2,34,
,,ESL,16A,2075,SILVER J L,11,3,11,,2,,,2,4,33,
,,,,2076,NIGHTINGALE M D,5,7,,,2,,,2,2,18,
,,ESL,16B,2077,SILVER J L,7,10,2,4,3,2,,,13,41,
,,,,2078,NIGHTINGALE M D,4,6,5,1,5,,,1,9,31,
,,ESL,16C,2079,COURTER S R,8,4,8,3,4,3,,1,8,39,
,,,,2080,NIGHTINGALE M D,5,9,2,2,7,,1,,6,32,
,,ESL,17,2081,STIVENER M,5,9,5,1,9,1,,,5,35,
,,ESL,20A,2082,ASHLEIGH S B,4,9,5,2,1,6,,1,6,34,
,,,,2083,RANDALL T R,3,6,5,3,4,,2,1,1,25,
,,ESL,20B,2084,KIM E,3,6,3,4,7,,1,2,1,27,
,,,,2085,CARR K J,9,6,6,,7,,,1,1,30,
,,ESL,21A,2086,LODMER E L,3,4,4,,2,,4,12,5,34,
,,,,2087,HOOVER J,3,2,7,2,3,,6,13,4,40,
,,,,2088,BOSTWICK L H,3,7,4,1,4,,1,3,1,24,
,,,,2089,IBARAKI A T,,1,5,,1,,7,6,3,23,
,,,,2090,LEVITT D J,1,9,4,1,2,,1,6,,24,
"Monday, October 15, 2012",,,,,,,,,,,,,,Page 46 of 88,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IX,NP,P,W,Total
ESL,ESL,ESL,21A,2091,JO C J,3,6,4,,4,,3,3,1,24,
,,,,2092,CERQUEIRA B L,4,3,2,,1,,5,8,2,25,
,,,,2093,TUDMAN K L,2,9,5,2,2,,1,2,2,25,
,,,,2094,IBARAKI A T,1,1,5,,2,,7,9,,25,
,,,,2095,MARASCO J A,,3,2,,1,,12,16,2,36,
,,,,2096,TUDMAN K L,3,7,5,,1,,1,7,1,25,
,,,,2097,JO C J,3,3,3,,7,,4,2,2,24,
,,,,2098,ANTMAN B,4,6,4,2,3,,,5,1,25,
,,,,2099,JO C J,3,4,5,,7,,3,1,1,24,
,,,,2100,SILVER J L,2,4,5,1,,,,10,3,25,
,,,,2101,ANTMAN B,4,5,3,,2,,3,4,3,24,
,,,,2102,TUDMAN K L,4,5,9,,,,,4,3,25,
,,,,2103,ANTMAN B,6,4,4,2,1,,1,4,2,24,
,,,,2104,SILVER J L,1,1,7,,,,,14,1,24,
,,,,4192,JO C J,1,6,2,,3,,5,9,,26,
,,,,4193,GROLLMUS J,2,5,3,5,2,,1,5,2,25,
,,ESL,21B,2105,LODMER E L,2,1,3,3,1,,6,13,4,33,
,,,,2106,HOOVER J,1,3,7,5,1,,8,8,2,35,
,,,,2107,TURNER P A,3,9,2,,,,4,8,,26,
,,,,2108,TURNER P A,2,3,1,,1,,5,14,,26,
,,,,2109,JAFFE S R,3,6,10,3,2,,3,7,3,37,
,,,,2110,JAFFE S R,2,6,6,4,2,,6,10,2,38,
,,,,2111,MARASCO J A,1,4,2,,2,,6,20,,35,
,,,,2112,DIAZ J M,,7,1,,2,,6,10,,26,
,,,,2113,HAYWARD R,1,10,4,,,,1,9,,25,
,,,,2114,DIAZ J M,3,2,2,,2,,3,11,2,25,
,,,,2115,HAYWARD R,3,7,2,1,,,1,7,4,25,
,,,,2116,DIAZ J M,7,,1,,1,,2,13,,24,
,,,,2118,SCHELBERT B,2,7,4,,,,6,9,,28,
,,,,2119,TRACEY M P,,4,2,,,,3,15,,24,
"Monday, October 15, 2012",,,,,,,,,,,,,,Page 47 of 88,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IX,NP,P,W,Total
ESL,ESL,ESL,21B,4194,TRACEY M P,1,7,2,1,,,2,10,1,24,
,,,,4195,TRACEY M P,4,6,2,,1,,2,10,,25,
,,ESL,23,2120,HOROWITZ R S,5,8,6,8,,,,,1,28,
,,,,2121,GRAZIADEI K N,15,5,1,,1,,,1,5,28,
,,ESL,25,2122,RANDALL T R,2,3,3,1,3,,2,7,1,22,
,,ESL,28,2123,IBARAKI A T,5,8,3,5,4,,,3,4,32,
,,,,2124,RANDALL T R,,2,3,2,7,,,,9,23,
Health Scien,HEALTH,HEALTH 6,,2261,REES D M,14,6,1,5,8,3,,,3,40,
,,,,4252,REES D M,13,7,5,,4,1,,,10,40,
,NURSNG,NURSNG 1,,2706,THIERCOF H A,8,21,6,1,,,,,3,39,
,,NURSNG 1,,2707,THIERCOF H A,,,,,,,,10,,10,
,,,,2708,SHORT A D,,,,,,,1,8,1,10,
,,,,2709,THIERCOF H A,,,,,,,,8,1,9,
,,,,2710,SHORT A D,,,,,,,,9,1,10,
,,NURSNG 1,,2711,SHORT A D,3,25,8,,,,,,,36,
,,NURSNG 1,,2712,THIERCOF H A,,,,,,,,9,,9,
,,,,2713,SHORT A D,,,,,,,,10,,10,
,,,,2714,THIERCOF H A,,,,,,,,9,,9,
,,,,2715,SHORT A D,,,,,,,,8,,8,
,,NURSNG 1,,2716,ADLER E,,,,,,,,22,,22,
,,NURSNG 1,,2717,FRIEDMAN M H,9,13,4,,3,,,,15,44,
,,,,2718,FRIEDMAN M H,4,9,5,,3,,,1,6,28,
,,,,4390,FRIEDMAN M H,10,6,6,1,4,,,1,8,36,
,,NURSNG 2,,2719,ANGEL V M,14,14,,5,2,,,,2,37,
,,NURSNG 2,,2720,ANGEL V M,,,,,,,2,7,,9,
,,,,2721,SOSHNIK R M,,,,,,,,9,,9,
,,,,2722,PENAFLORIDA D D,,,,,,,1,7,1,9,
,,,,2723,MAYORGA A,,,,,,,4,5,1,10,
,,NURSNG 2,,2724,FARBER G C,5,21,2,,,,,,2,30,
,,NURSNG 2,,2725,WISE J K,,,,,,,,8,,8,
"Monday, October 15, 2012",,,,,,,,,,,,,,Page 48 of 88,,
Department,Subject,Course,Section,Instructor,A,B,C,D,DR,F,IX,NP,P,W,Total
Health Scien,NURSNG,NURSNG 2,2726,FARBER G C,,,,,,,,,7,,7
,,,2727,RISINGER L A,,,,,,,,,7,,7
,,,2728,FARBER G C,,,,,,,,,6,,6
,,NURSNG 2,2729,MCDONALD J M,,26,2,,,,,,,,28
,,NURSNG 3,2730,WILLIAMS E J,,6,16,5,,,,,,,27
,,NURSNG 3,2731,WILLIAMS E J,,,,,,,,,9,,9
,,,2732,BOOTEN T M,,,,,,,,,9,,9
,,,2734,MCDONALD J M,,,,,,,,5,4,,9
,,NURSNG 3,2735,ADLER E,,11,11,,,,,,,2,24
,,NURSNG 3,2736,ANGEL V M,,,,,,,,,7,,7
,,,2737,ADLER E,,,,,,,,1,8,,9
,,,2739,BREGMAN M A,,,,,,,,,7,1,8
,,NURSNG 3,2740,LOPEZ G M,12,12,2,1,,4,,,,8,39
,,,2741,LOPEZ G M,15,12,11,3,,5,,,,4,50
,,NURSNG 4,2742,ADLER E,3,11,1,,,,,,,1,16
,,,2743,ADLER E,2,12,3,,,,,,,1,18
,,NURSNG 4,2744,ESTRELLA D J,,,,,,,,,7,,7
,,,2745,ADLER E,,,,,,,,,9,,9
,,,2746,WISE J K,,,,,,,,,8,,8
,,,2747,WISE J K,,,,,,,,,8,,8
,,NURSNG 4,2748,MCCASKILL C J,6,8,1,,,,,,,,15
,,,2749,ABERBOOK V A,5,9,3,,,,,,,,17
,,NURSNG 4,2750,SMITH D L,,,,,,,,,8,,8
,,,2751,SMITH D L,,,,,,,,,8,,8
,,,2752,ABERBOOK V A,,,,,,,,,9,,9
,,,2753,MCCASKILL C J,,,,,,,,,7,,7
,,NURSNG 5,2754,WILLIAMS E J,7,21,4,,,,,,,,32
,,NURSNG 5,2755,WILLIAMS E J,,,,,,,,,16,3,19
,,,2756,DULI L R,,,,,,,,,16,,16
,RES TH,RES TH,1,4448,SANTANA S A,9,10,7,3,14,,,,4,47
"Monday, October 15, 2012",,,,,,,,,,,,,,Page 49 of 88,
Department,Subject,Course,Section,,Instructor,A,B,C,D,DR,F,IX,NP,P,W,Total
Health Scien,RES TH,RES TH 60,,4449,SANTANA S A,2,10,16,6,2,,,,1,37,
,,RES TH 70,,3006,SANTANA S A,1,11,11,5,3,,,,1,32,
History,HIST,HIST,1,2262,BYRNE D,12,19,9,1,5,,,,4,50,
,,,,2263,NESS B J,2,17,17,1,,,,,9,46,
,,,,2264,BYRNE D,12,29,10,4,1,,,,2,58,
,,,,2265,NESS B J,6,15,9,6,7,,,,8,51,
,,,,2266,NESS B J,4,11,4,,,2,,,4,25,
,,,,2267,STILES C L,57,18,4,3,1,,,,1,84,
,,,,4255,STILES C L,54,13,7,,2,,,3,3,82,
,,HIST,2,2268,COOPER J A,13,9,4,3,3,,,1,10,43,
,,,,2269,KERZE M,5,5,4,2,7,3,,,13,39,
,,,,2270,KENT M L,20,5,3,,2,,,,3,33,
,,,,2271,KERZE M,6,7,10,1,5,1,,1,16,47,
,,,,2272,MANOFF R J,21,15,2,3,1,1,,1,2,46,
,,,,2273,ROMANO H M,20,9,13,1,2,,,,4,49,
,,,,2274,VERLET M C,8,13,9,4,1,1,,,4,40,
,,,,2275,VERLET M C,4,7,10,2,5,,,,13,41,
