Santa Monica College - Grade Distribution Fall 2015,,,,,,,,,,,,,,,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
,,,,2416,LIU J,7,11,4,2,3,,,,4,,31,
,,GEOG,2,2420,ABATE A,4,2,18,2,1,,,,6,,33,
,,,,2418,MORRIS P S,3,4,9,1,5,,,,6,,28,
,,,,2419,MORRIS P S,4,4,3,3,10,1,,,19,,44,
,,GEOG,3,2421,KRANZ J,10,8,4,,6,,,,6,,34,
,,,,2422,KRANZ J,7,8,5,4,6,,,1,6,,37,
,,GEOG,5,4239,PATRICH J G,15,8,3,2,1,1,,9,1,,40,
,,,,2423,DRAKE V G,7,10,7,4,2,1,,2,6,,39,
,,,,2424,LIU J,23,6,,2,1,,,,4,,36,
,,,,,,,,,,,,,,Page 44 of 119,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Earth Science,GEOG,GEOG,5,2425,HACKELING J,9,14,7,2,4,,,,1,,37,
,,GEOG,7,4487,RITZ T M,7,1,,,2,,,,,,10,
,,GEOG,8,4488,SULLIVAN R E,4,3,,,4,,,,,,11,
,,,,2428,MORRIS P S,3,6,3,3,1,,,,6,,22,
,,GEOG,11,2429,MORRIS P S,2,1,4,3,1,,,,2,,13,
,,,,2430,ABATE A,3,5,3,1,,,,,1,,13,
,,GEOG,14,2431,DRAKE V G,7,8,4,3,10,,3,,6,,41,
,,,,2432,MORRIS P S,3,6,12,3,6,,,,10,,40,
,,GEOG,20,2433,DRAKE V G,4,1,,,2,,,,5,,12,
,,GEOG,35F,2434,PATRICH J G,11,,,,5,,,,7,,23,
,GEOL,GEOL,1,4241,HALL J M,13,6,3,,2,,,,1,,25,
,,,,2435,GRIPPO A,3,5,7,8,5,,1,,12,,41,
,,,,2436,WIELICKI M D,7,11,6,7,5,,,,9,,45,
,,GEOL,4,2437,WIELICKI M D,8,10,8,1,4,,,,1,,32,
,,,,2438,THOMPSON C K,11,11,5,4,,,,,2,,33,
,,,,4242,THOMPSON C K,7,14,10,2,1,,,,3,,37,
,,GEOL,5,4243,GRIPPO A,3,2,6,,1,,,,10,,22,
,,GEOL,31,2439,THOMPSON C K,6,8,5,5,9,1,,,12,,46,
,,,,2440,HALL J M,12,12,5,1,3,,,,2,,35,
,GIS,GIS,20,2446,DRAKE V G,2,2,,,4,1,,,4,,13,
,GLOBAL,GLOBAL 11,,2450,MORRIS P S,1,4,5,4,1,,,,2,,17,
,,,,2451,ABATE A,2,4,4,,1,,,,2,,13,
,PV,PV,1,4455,COOLEY S,8,9,2,,2,,,,2,,23,
,,PV,2,4456,COOLEY S,10,7,1,,,,,,3,,21,
,,PV,3,4457,RUIZ E S,13,1,,,2,,,,1,,17,
,,,,,,,,,,,,,,Page 45 of 119,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Earth Science,RRM,RRM,1,3347,CHARLES V H,9,2,2,1,2,,,,5,,21,
,,RRM,2,4461,SPEIGHTS S L,7,4,4,,3,,,,2,,20,
,,RRM,3,3348,HULS J M,37,2,3,,,,,,7,,49,
,,RRM,4,4462,SASU S,23,4,3,,,,,,3,7,40,
,URBAN,URBAN,8,4489,SULLIVAN R E,4,5,1,2,3,,,,2,,17,
,,,,3429,MORRIS P S,4,1,3,1,,,,1,9,,19,
Education/ECE,DANCE,DANCE,75,4144,WOLIN-TUPAS R L,12,1,,1,1,,,,2,,17,
,ECE,ECE,2,1792,POURROY D M,20,4,3,,,,,,5,,32,
,,,,1793,POURROY D M,21,3,5,,,,,,7,,36,
,,,,3549,LERNER N F,21,3,1,,,,,,,,25,
,,,,4145,MOSLEY K R,10,8,2,,,,,,7,,27,
,,,,1790,WILSON L M,14,,,1,1,,,,6,,22,
,,,,1789,DOPHNA G R,20,,4,1,2,,,,3,,30,
,,,,1788,DOPHNA G R,11,7,5,1,1,,,,11,,36,
,,,,1791,DOPHNA G R,12,7,2,,,,,,4,,25,
,,,,3550,LERNER N F,17,9,3,,,,,,1,,30,
,,ECE,4,1794,HUFF G F,19,3,2,,1,,,,3,,28,
,,ECE,5,4146,ANDREWS T D,19,1,,,2,,,,3,,25,
,,ECE,8,1795,KARAOLIS O,15,10,1,2,,,,,4,,32,
,,ECE,11,1797,GRACE Y H,27,8,2,1,,,,,2,,40,
,,,,4147,MILLER CA L,21,7,4,,,,,,1,,33,
,,,,3544,MILLER CA L,10,4,6,1,4,,,,2,,27,
,,,,1798,TANNATT M G M,9,12,11,3,1,,,,1,,37,
,,,,1796,MILLER CA L,16,7,1,3,2,,,,1,,30,
,,,,1799,TANNATT M G M,7,10,2,1,5,,,,7,,32,
,,,,,,,,,,,,,,Page 46 of 119,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Education/ECE,ECE,ECE,17,1800,MANSON L J,14,9,5,1,,,,,3,,32,
,,,,1801,MANSON L J,20,5,7,2,,,,,4,,38,
,,,,4148,RICHARD C,19,9,5,2,,,,,2,,37,
,,ECE,19,1802,TALLEDA M L,15,4,2,,,,,,7,,28,
,,,,1803,DRUKER S L,6,4,6,2,1,,,,3,,22,
,,,,4149,MILLER CA L,14,4,3,1,3,,,,5,,30,
,,ECE,21,1804,DOPHNA G R,16,,1,1,1,,,,4,,23,
,,,,4150,GRACE Y H,18,5,1,,,,,,2,,26,
,,ECE,22,4503,BACINO J R,10,,1,,,,,,,,11,
,,,,4151,BACKLAR N P,15,3,2,,,,,,3,,23,
,,ECE,41,1805,GUNN A C,16,4,,,,,,,3,,23,
,,ECE,43,1806,GUNN A C,18,5,2,,,,,,3,,28,
,,ECE,45,4152,HARRISON T J,15,8,1,2,3,,,,3,,32,
,,,,1807,KARAOLIS O,18,4,3,1,,,,,6,,32,
,,,,1808,KARAOLIS O,6,10,7,2,,,,,8,,33,
,,ECE,46,1809,MANSON L J,20,9,4,1,,,,,,,34,
,,,,4153,HUFF G F,26,,,1,,,,,3,,30,
,,ECE,48,1810,KHOKHA E W,12,1,,,,,,,5,,18,
,,ECE,49,4154,JOACHIM S L,11,6,2,1,,,,,4,,24,
,,ECE,51,1811,KHOKHA E W,9,5,,,,,,,6,,20,
,,ECE,53,1812,KHOKHA E W,12,,2,,,,,,2,,16,
,,ECE,64,1815,POURROY D M,28,3,4,1,,,,,4,,40,
,,,,1814,GUNN A C,13,6,3,,,,,,,,22,
,,,,1813,WILSON L M,24,2,1,3,,,,,5,,35,
,,ECE,75,4155,WOLIN-TUPAS R L,10,,3,,,,,,1,,14,
,,,,,,,,,,,,,,Page 47 of 119,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
Education/ECE,EDUC,EDUC,1,1857,PEREZ-FERNANDEZ L,9,,1,1,2,,,,10,,23,
,,,,1858,TALLEDA M L,10,2,2,,,,,,8,,22,
English,ENGL,ENGL,1,1896,BLACKWELL N,6,15,7,2,2,,,,7,,39,
,,,,1901,MENTON K T,3,9,13,2,6,,,,4,,37,
,,,,1900,FONSECA M L,6,11,5,1,2,,,,2,,27,
,,,,1892,PADILLA M R,5,10,5,,1,,,,4,,25,
,,,,1899,LEGRANDE E,8,13,2,2,,,,,,,25,
,,,,1897,MEEKS C,3,4,10,3,,,,,6,,26,
,,,,1913,ZEHR D M,11,9,7,5,,,,,5,,37,
,,,,1895,ESPINOSA A A,9,13,3,4,1,,,,3,,33,
,,,,1894,GILDNER B J,,8,6,4,,,,,6,,24,
,,,,1893,DRISCOLL L V,19,14,1,1,,,,,2,,37,
,,,,1902,DURAN A,4,4,1,1,6,1,,,6,,23,
,,,,1898,STIRLING M S,2,4,6,4,4,,,,5,,25,
,,,,1903,YOUNG W H,3,6,1,,3,,,,8,,21,
,,,,1904,FREDRICK J A,2,8,11,,2,,,,1,,24,
,,,,1905,IRELAND S P,10,18,2,1,,,,,,,31,
,,,,1906,ESPINOSA A A,5,6,9,6,5,,,,4,,35,
,,,,1907,CAGGIANO S E,8,3,3,4,5,,,,2,,25,
,,,,1908,ARMS E D,15,9,,,,,,,3,,27,
,,,,1909,REMMES J,,8,3,2,4,,,,6,,23,
,,,,1910,REMMES J,1,6,3,2,2,,,,8,,22,
,,,,1891,NOLAN-COFFMAN M P,5,9,1,,2,,,,7,,24,
,,,,1912,LOZADA C H,2,3,8,7,2,,,,4,,26,
,,,,1877,IRELAND S P,15,12,1,2,,,,,1,,31,
,,,,,,,,,,,,,,Page 48 of 119,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
English,ENGL,ENGL,1,1914,GILDNER B J,1,8,4,5,,,,,3,,21,
,,,,1915,MEIR N K,3,10,3,,,,,,7,,23,
,,,,1916,HERTZ U L,3,7,6,3,3,,,,4,,26,
,,,,1911,VISHWANADHA H,1,3,4,4,7,,,,14,,33,
,,,,1873,WATTS J W,8,15,6,3,,,,,6,,38,
,,,,1919,RAJSKI B,15,11,3,1,,,,,7,,37,
,,,,1861,BRIGSTOCKE J W,5,8,,5,,,,,8,,26,
,,,,1862,ZEHR D M,13,7,,2,,,,,4,,26,
,,,,1863,DRISCOLL L V,17,9,,,,,,,10,,36,
,,,,1864,GOODE S S,4,13,,,,,,,7,,24,
,,,,1865,GILDNER B J,1,5,10,4,,,,,4,,24,
,,,,1866,BRIGSTOCKE J W,9,5,3,4,,,,,14,,35,
,,,,1867,BLACKWELL N,12,8,2,2,4,,,,6,,34,
,,,,1868,STIRLING M S,1,2,7,1,2,,,,9,,22,
,,,,1869,MEEKS C,9,7,2,1,1,,,,3,,23,
,,,,1870,RAJSKI B,16,9,2,1,3,,,,5,,36,
,,,,1879,RAJSKI B,11,8,1,1,2,,,,3,,26,
,,,,1872,MENTON K T,11,,9,4,6,,,,5,,35,
,,,,1890,TOBENKIN L E,4,6,2,1,2,,,,7,,22,
,,,,1874,CAGGIANO S E,3,11,6,2,2,,,,1,,25,
,,,,1875,ESPINOSA A A,6,8,3,2,2,,,,3,,24,
,,,,1876,YOUNG W H,2,5,5,1,,,,,7,,20,
,,,,1878,BRIGSTOCKE J W,6,10,4,8,,,,,7,,35,
,,,,1881,DURAN A,2,4,8,6,,,,,2,,22,
,,,,1883,BONAR H S,18,8,3,1,,,,,,,30,
,,,,,,,,,,,,,,Page 49 of 119,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
English,ENGL,ENGL,1,1884,HANSEN N C,12,5,2,3,,,,,2,,24,
,,,,1885,GARNICA A M,1,7,1,6,,,,,7,,22,
,,,,1886,ROSALES C M,8,4,3,4,,,,,2,,21,
,,,,1887,LEGRANDE E,8,13,3,,,,,,1,,25,
,,,,1888,MEIR N K,8,10,1,2,,,,,3,,24,
,,,,1889,KARRON R,10,6,1,1,,,,,6,,24,
,,,,1871,MOTOIKE K J,3,9,3,1,,,,,8,,24,
,,,,1968,SURENDRANATH L C,11,6,1,2,,,,,3,,23,
,,,,1959,JU S,6,7,3,2,,,,,8,,26,
,,,,1976,CRAMER T R,9,8,1,,,,,,3,,21,
,,,,1975,CRAMER T R,8,8,1,2,,,,,1,,20,
,,,,1974,CRAMER T R,13,4,2,2,,,,,2,,23,
,,,,1973,DEL GEORGE D K,5,4,3,6,,,,,2,,20,
,,,,1972,DEL GEORGE D K,4,3,3,1,4,,,,3,,18,
,,,,1971,ROSALES C M,3,4,5,1,6,,,,2,,21,
,,,,1978,LYNCH J J,9,2,2,1,3,,,,2,,19,
,,,,1969,AGHABEGIAN DIANA E,2,3,4,1,4,,,,6,,20,
,,,,1980,LYNCH J J,7,3,3,2,,,,,5,,20,
,,,,1967,SOSNER J A,6,11,5,2,2,,,,1,,27,
,,,,1966,KAPLAN M A,7,5,3,2,,,,,3,,20,
,,,,1965,FREDRICK J A,5,8,2,6,,,,,2,,23,
,,,,1964,EDELMANN C,6,8,5,3,,,,,2,,24,
,,,,1963,KRUSOE J A,7,7,3,3,,,,,14,,34,
,,,,1962,ENGELMANN D S,13,12,4,1,,,,,4,,34,
,,,,1961,BURAK C D,6,10,1,,,,,,3,,20,
,,,,,,,,,,,,,,Page 50 of 119,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
English,ENGL,ENGL,1,1960,ROBINSON B,6,9,2,1,2,,,,2,,22,
,,,,1970,AGHABEGIAN DIANA E,4,7,3,1,2,,,,3,,20,
,,,,4164,EDELMANN C,8,6,2,4,,,,,4,,24,
,,,,1918,BEARDSLEY J D,2,7,4,3,8,,,,2,,26,
,,,,4172,KLEIN R E,8,2,3,3,,,,,6,,22,
,,,,4171,PHILLIPS L K,3,5,3,2,,,,,10,,23,
,,,,4170,POSSEMATO F,23,2,,,,,,,1,,26,
,,,,4169,KEMPER D E,5,10,2,2,1,,,,4,,24,
,,,,4168,PHILLIPS L K,7,4,6,2,,,,,4,,23,
,,,,4167,HALL J E,24,,,,1,,,,,,25,
,,,,1977,REICHLE R E,2,4,,,5,,,,7,,18,
,,,,4165,KAPLAN M A,7,6,1,1,,,,,6,,21,
,,,,1979,GUSTIN M J,3,3,2,2,2,,,,4,,16,
,,,,4163,HALL J E,23,,,,1,,,,,,24,
,,,,3593,DESAI D H,5,8,2,3,,,,,4,,22,
,,,,3585,DOUCET W J,21,2,1,,,1,,,6,,31,
,,,,3565,WINKLER K D,4,4,1,,1,,,,3,,13,
,,,,3487,DEMPSEY A L,19,5,2,2,1,,,,2,,31,
,,,,3470,DEMPSEY A L,19,4,,,1,,,,3,,27,
,,,,3469,CONSTANTIN G N,14,5,2,3,,,,,2,,26,
,,,,3468,MOTOIKE K J,4,2,5,2,2,,,,7,,22,
,,,,4166,FREDRICK J A,6,4,4,,6,,,,3,,23,
,,,,1925,GOODE S S,4,14,1,,1,,,,5,,25,
,,,,1937,HANSEN N C,9,5,1,1,5,1,,,,,22,
,,,,1936,NELSON LAUNA A,6,6,3,2,2,1,,,1,,21,
,,,,,,,,,,,,,,Page 51 of 119,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
English,ENGL,ENGL,1,1935,PADILLA M R,8,14,7,2,3,,,,2,,36,
,,,,1934,PACCHIOLI J J,4,10,7,4,4,,,,5,,34,
,,,,1933,MEYER E E,9,9,5,6,3,,,,2,,34,
,,,,1932,LANE P D,9,14,,,,,,,2,,25,
,,,,1930,MCQUEENEY E P,9,5,4,,3,1,,,3,,25,
,,,,1938,DESAI D H,7,7,3,1,1,,,,2,,21,
,,,,1926,WINKLER K D,7,11,3,,2,,,1,6,,30,
,,,,1931,MAVROMATI A C,10,4,2,2,7,,,,,,25,
,,,,1924,ADAMS K A,7,10,5,1,3,,,,4,,30,
,,,,1923,OBA R K,7,9,3,5,,,,,2,,26,
,,,,1922,GARNICA A M,2,6,8,1,6,,,,2,,25,
,,,,1921,RUBIO G H,1,5,5,2,,,,,10,,23,
,,,,1920,NICHOLS E,4,10,4,1,,,,,6,,25,
,,,,1958,DOUCET W J,17,6,5,1,,5,,,1,,35,
,,,,1981,DEL GEORGE D K,7,3,4,,3,,,,5,,22,
,,,,1917,NELSON LAUNA A,8,4,4,1,1,1,,,3,,22,
,,,,1927,ROSS M S,4,4,8,3,,,,,6,,25,
,,,,1954,DAVIS C V,3,8,7,,2,,,,2,,22,
,,,,1957,MISAGHI A M,5,7,11,,1,,,,2,,26,
,,,,1956,HERBERT S,13,15,1,,3,1,,,3,,36,
,,,,1929,KARRON R,4,13,4,,2,,,,2,,25,
,,,,1955,JU S,6,11,2,1,3,,,,12,,35,
,,,,1953,WILL L J,10,10,2,1,2,,,,1,,26,
,,,,1952,KRUSOE J A,8,10,10,3,,,,,7,,38,
,,,,1951,SIMPSON L E,10,12,2,1,,,,,6,,31,
,,,,,,,,,,,,,,Page 52 of 119,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
English,ENGL,ENGL,1,1950,ENGELMANN D S,15,8,1,,,,,,1,,25,
,,,,1949,NELSON LAUNA A,6,6,2,6,,,,,1,,21,
,,,,1948,MEYER E E,3,4,4,3,3,2,,,4,,23,
,,,,1947,MEYER E E,10,9,3,5,2,1,,,4,,34,
,,,,1941,ROSS M S,8,11,10,1,,,,,3,,33,
,,,,1939,HERBERT S,19,13,1,1,,,,,,,34,
,,,,1940,PACCHIOLI J J,3,8,5,3,1,,,,10,,30,
,,,,1942,WATTS J W,13,16,3,2,,,,,1,,35,
,,,,1943,GRIFFY W J,7,11,3,2,,,,,4,,27,
,,,,1944,LEGRANDE E,10,8,7,,,,,,,,25,
,,,,1945,JU S,10,15,1,1,,,,,8,,35,
,,,,1946,ARIEFF D E,6,6,4,4,1,,,,3,,24,
,,ENGL,2,2045,JOHNSON D J,6,11,1,5,2,,,,2,,27,
,,,,2033,CRAMER T R,5,10,4,2,,,,,2,,23,
,,,,2046,OBA R K,5,7,5,5,1,,,,2,,25,
,,,,2038,LANE P D,10,9,,,,,,,2,,21,
,,,,2043,MAVROMATI A C,8,8,2,1,4,,,,2,,25,
,,,,2042,LANDAU D M E,1,3,8,3,1,,,,10,,26,
,,,,2041,SIMPSON L E,11,9,,1,,,,,2,,23,
,,,,2040,WILL L J,4,6,5,,,3,,,4,,22,
,,,,2039,POSSEMATO F,28,,,,,,,,1,,29,
,,,,2044,KEMPER D E,9,8,3,,,,,,5,,25,
,,,,2037,DAVIS C V,7,7,6,1,,,,,1,,22,
,,,,2036,LYNCH J J,9,9,,2,,,,,4,,24,
,,,,2030,EDELMANN C,9,5,4,3,2,,,,3,,26,
,,,,,,,,,,,,,,Page 53 of 119,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
English,ENGL,ENGL,2,2034,PACCHIOLI J J,1,9,5,2,1,,,,4,,22,
,,,,2047,REMMES J,3,5,5,5,,,,,3,,21,
,,,,2032,ARIEFF D E,7,7,4,1,,,,,5,,24,
,,,,2031,DEL GEORGE D K,14,6,2,,,,,,1,,23,
,,,,2029,LANE P D,11,8,,2,,,,,,,21,
,,,,2027,MARTINEZ-GIL C,20,2,,,2,,,,2,,26,
,,,,4181,KEMPER D E,13,4,2,1,1,,,,5,,26,
,,,,2035,BELL S L,20,3,,1,,,,,1,,25,
,,,,3579,GUSTIN M J,4,8,5,1,,,,,1,,19,
,,,,2052,LONGO J P,7,3,4,2,,,,,4,,20,
,,,,2026,LANDAU D M E,,8,8,,,,,,7,,23,
,,,,4180,MURPHY E M,6,3,1,2,,,,,8,,20,
,,,,4178,OBA R K,6,6,3,4,,,,,5,,24,
,,,,4176,ENGELMANN D S,11,5,,,,,,,6,,22,
,,,,4175,POSSEMATO F,22,1,,,1,,,,1,,25,
,,,,4174,PADILLA M R,4,15,1,,4,,,,3,,27,
,,,,4173,SOSNER J A,8,10,2,,4,,,,2,,26,
,,,,4179,MINAMI A M,6,13,2,,1,,,,2,,24,
,,,,3592,NOLAN-COFFMAN M P,6,8,1,,,,,,4,,19,
,,,,2048,JANAKOS L D,5,3,3,,3,,,,3,,17,
,,,,3562,HERBERT S,10,4,3,,4,,,,8,,29,
,,,,2058,HASSMAN T,8,2,5,1,2,,,,4,,22,
,,,,2057,HOTSINPILLER,8,2,4,2,,,,,1,,17,
,,,,,MATTHEW,,,,,,,,,,,,
,,,,2056,HASSMAN T,7,2,3,3,2,,,,3,,20,
,,,,,,,,,,,,,,Page 54 of 119,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
English,ENGL,ENGL,2,2055,AGHABEGIAN DIANA E,12,1,2,1,,,,,2,,18,
,,,,2053,HASSMAN T,2,3,4,2,6,,,,4,,21,
,,,,2051,GUSTIN M J,6,1,4,3,,,,,5,,19,
,,,,2050,BORETZ M S,13,4,1,1,,1,,,2,,22,
,,,,2049,SCHAMP J L,4,9,3,1,3,,,,2,,22,
,,,,3598,FERREROSA J P,6,4,3,3,4,,,,5,,25,
,,,,1992,DRISCOLL L V,16,5,1,,,,,,1,,23,
,,,,2002,GOODE S S,4,12,2,1,,,,,3,,22,
,,,,2054,JANAKOS L D,6,8,3,3,1,,,,1,,22,
,,,,2025,KAPLAN M A,9,8,2,1,,,,,2,,22,
,,,,1999,MOTOIKE K J,10,6,4,2,3,,,,2,,27,
,,,,1998,BRIGSTOCKE J W,4,13,2,1,,1,,,9,,30,
,,,,1997,WATTS J W,10,12,4,,,,,,3,,29,
,,,,1996,MEIR N K,6,7,6,2,,,,,3,,24,
,,,,1995,TODD G T,6,7,4,2,2,1,,,4,,26,
,,,,2003,RAJSKI B,14,6,1,,,,,,2,,23,
,,,,1993,TRUBY D,3,9,5,2,,,,,8,,27,
,,,,2001,FONSECA M L,1,10,8,2,,2,,,3,,26,
,,,,1991,MARTINEZ-GIL C,17,8,2,,,,,,5,,32,
,,,,1990,HANSEN N C,20,5,1,,,1,,,,,27,
,,,,1989,BONAR H S,19,7,3,2,,,,,3,,34,
,,,,1988,PADILLA M R,13,3,7,1,,,,,1,,25,
,,,,1987,HERTZ U L,2,4,5,2,1,,,,6,,20,
,,,,1986,SANDOVAL A,6,8,8,1,1,,,,3,,27,
,,,,1985,MEYER E E,12,7,1,2,,1,,,2,,25,
,,,,,,,,,,,,,,Page 55 of 119,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
English,ENGL,ENGL,2,1984,ADAMS J J,1,7,9,4,4,,,,1,,26,
,,,,1983,ESPINOSA A A,4,5,8,2,1,,,,5,,25,
,,,,1994,DURAN A,7,1,5,,5,,,,7,,25,
,,,,2016,BURAK C D,8,7,,1,,,,,3,,19,
,,,,2024,PADILLA E,6,6,5,,,,,,5,,22,
,,,,2023,ZEHR D M,9,13,5,,,1,,,,,28,
,,,,2022,CRAMER T R,19,5,,,1,,,,,,25,
,,,,2021,MARTINEZ-GIL C,17,4,1,,,,,,,,22,
,,,,2020,JU S,9,9,3,,,,,,6,,27,
,,,,2019,WATTS J W,6,15,5,,1,,,,,,27,
,,,,2000,DOSSETT G H,8,11,4,,1,,,,1,,25,
,,,,2017,DOUCET W J,23,14,,,,11,,,,,48,
,,,,2004,STERR S D,9,7,4,,1,,,,2,,23,
,,,,2015,KARRON R,7,8,4,,2,,,,4,,25,
,,,,2007,NOLAN-COFFMAN M P,9,7,3,2,1,,,,4,,26,
,,,,2005,BRIGSTOCKE J W,5,7,9,,1,2,,1,2,,27,
,,,,2018,HERTZ U L,2,8,4,1,2,,,,5,,22,
,,,,2006,WINKLER K D,6,10,2,1,4,,,,5,,28,
,,,,2014,HAMADA M J,9,7,3,,,,,,4,,23,
,,,,2008,BONAR H S,5,10,4,2,,,,,5,,26,
,,,,2009,HOTSINPILLER,5,5,5,1,8,,,,5,,29,
,,,,,MATTHEW,,,,,,,,,,,,
,,,,2010,ARIEFF D E,4,7,5,3,,,,,5,,24,
,,,,2011,ARMS E D,11,11,5,,1,,,,1,,29,
,,,,2012,LEMON W R,8,6,5,,3,,,,3,,25,
,,,,,,,,,,,,,,Page 56 of 119,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
English,ENGL,ENGL,2,2013,YOUNG W H,2,6,6,1,,,,,7,,22,
,,ENGL,3,4182,HUMPHREY T F,24,,,,,1,,,4,,29,
,,ENGL,4,2059,ZEHR D M,9,12,3,,,,,,6,,30,
,,ENGL,5,2060,DRISCOLL L V,37,1,,,,,,,2,,40,
,,,,4184,KLEIN R E,17,4,2,1,,,,,10,,34,
,,ENGL,6,2061,DOSSETT G H,6,16,4,3,,,,,3,,32,
,,,,4185,SIMPSON L E,12,7,1,1,,,,,4,,25,
,,ENGL,7,2062,PACCHIOLI J J,4,10,6,1,,,,,4,,25,
,,ENGL,8,2063,SOSNER J A,8,4,1,1,,,,,3,,17,
,,ENGL,10,2064,CANO D R,9,8,1,,,,,,6,,24,
,,ENGL,14,2065,ENGELMANN D S,15,4,,1,,,,,3,,23,
,,ENGL,15,2066,VISHWANADHA H,2,,3,,,1,,,8,,14,
,,ENGL,20,2073,PRITCHARD L A,3,11,9,1,1,,,,4,,29,
,,,,2078,O'HARA D M,3,2,3,5,,,,,7,,20,
,,,,2076,TODD G T,2,6,4,1,3,,,,5,,21,
,,,,2074,GARCIA M S,3,5,4,3,2,,,,6,,23,
,,,,4186,WOODRUFF S K,1,2,3,8,,,,,4,,18,
,,,,2072,ADAMS J J,,5,9,4,3,,,1,3,,25,
,,,,2071,GRIFFY W J,2,4,7,5,3,,,,3,,24,
,,,,2070,TODD G T,2,5,8,1,,,,,8,,24,
,,,,2069,PAK M,,9,7,3,2,,,,3,,24,
,,,,2068,PRITCHARD L A,1,5,8,2,,,,,6,,22,
,,,,2075,PRITCHARD L A,3,6,7,3,,,,,2,,21,
,,ENGL,21A,2125,SANDOVAL A,7,7,2,6,,,,,2,,24,
,,,,2101,FUCHS C A,2,6,9,2,1,,,,6,,26,
,,,,,,,,,,,,,,Page 57 of 119,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
English,ENGL,ENGL,21A,2128,COUEY S L,11,5,5,2,,,,,1,,24,
,,,,4190,GARCIA GU,14,7,2,1,,,,,3,,27,
,,,,2127,OVERALL S J,,4,10,4,,,,,6,,24,
,,,,2126,DIXON M J,2,12,1,2,6,,,,1,,24,
,,,,2129,FERREROSA J P,5,9,5,1,3,,,,2,,25,
,,,,2124,GARCIA M S,5,7,4,1,,,,,7,,24,
,,,,2123,KAUFFMAN S R,10,5,7,4,,,,,,,26,
,,,,2122,BOSTICK J D,2,13,2,7,,,,,2,,26,
,,,,2121,NASON N B,2,7,10,1,1,,,,4,,25,
,,,,2120,LIVANIS L,4,14,1,1,,,,,3,,23,
,,,,2130,WILL L J,6,5,5,8,,,,,3,,27,
,,,,2118,ROBERTS P S,2,1,5,13,,,,,7,,28,
,,,,2142,HARTMAN M,3,10,1,,,,,,6,,20,
,,,,2117,MILLER N A,2,7,6,1,3,,,,5,,24,
,,,,2119,ANDERSON E,5,11,1,2,1,,,,4,,24,
,,,,2143,OVERALL S J,,4,9,3,2,,,,6,,24,
,,,,2116,SANDOVAL A,5,5,2,4,5,,,,8,,29,
,,,,4189,PHILLIPS L K,3,5,6,2,,,,,5,,21,
,,,,4188,MURPHY E M,8,3,7,2,2,,,,3,,25,
,,,,4187,TURNER K E,3,5,6,5,,,,,5,,24,
,,,,3594,ORR P L,2,5,4,4,,,,,9,,24,
,,,,3586,NICHOLS E,3,8,5,1,,,,,6,,23,
,,,,2140,ADAMS K A,2,7,6,4,,,,,5,,24,
,,,,2144,TURNER K E,3,7,5,2,1,,,,6,,24,
,,,,2131,RUBIO G H,2,6,4,5,,,,,3,,20,
,,,,,,,,,,,,,,Page 58 of 119,,,
Department,Subject,Course,Section,,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
English,ENGL,ENGL,21A,2141,JOHNSON D J,7,12,2,1,2,,,,2,,26,
,,,,2139,BOSTICK J D,1,9,7,5,,,,,4,,26,
,,,,2137,DOSSETT G H,6,14,7,,3,,,,6,,36,
,,,,2136,LOZADA C H,,11,7,7,,,,,1,,26,
,,,,2134,BOSTICK J D,2,8,2,5,,1,,,8,,26,
,,,,2133,MISAGHI A M,4,6,10,3,,,,,,,23,
,,,,2132,LANDAU D M E,,7,20,,1,,,,4,,32,
,,,,2146,MURPHY E M,4,4,6,6,1,,,,2,,23,
,,,,2083,BELL S L,7,5,5,1,2,,,,5,,25,
,,,,2095,TRIPLETT J,2,3,4,4,4,,,,4,,21,
,,,,2094,DEMPSEY A L,18,7,2,,2,,,,1,,30,
